zone,state,lga,sector,ea,hhid,interviewer_id,wt_round7,wt_r7panel,s5q1f,s5q1f_os,s5q1g,s5q1h,s5q1h_os,s5q1i,s5q1i_os,s5q1j,s5q1k,s5q1k_os,s5q1l,s5q1m,s5q1m_os,s5q1c,s5q1d,s5q1e,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s9q4,s9q5,s9q6__1,s9q6__2,s9q6__3,s9q6__4,s9q6__5,s9q6__6,s9q6__96,s9q6_os,s9q7,s9q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199067,4,5049.17169565541,5344.766123760789,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,2. NO,8. SEASONAL WORKER,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,45,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-11T20:57:23
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199071,21,4665.171640346537,4418.83391762164,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,4. Some of the time,1. All of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",28,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 6,2. NO,,,,,,,,,,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-12T09:28:45
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199075,19,18529.101037900775,19518.3457048112,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,12,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-07T18:37:49
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199077,4,6134.758668250337,5750.234925361607,1. PIPED INTO DWELLING/YARD/PLOT/  TO NEIGHBOR,,"2. NO, ALWAYS SUFFICIENT",,,1. PIPED INTO DWELLING/YARD/PLOT/  TO NEIGHBOR,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,4. FOUR,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,2. NO,8. SEASONAL WORKER,,"1. AGRICULTURE, HUNTING, FISHING",4. As an employee for a private company or another individual (not household member),,20,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,1. YES,1,2020-11-09T09:36:19
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199078,13,8413.097989871678,7813.900652779607,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",2. WATER SUPPLY REDUCED,,5. TUBE WELL/BOREHOLE,,2. NO,7. CANNOT AFFORD IT,,2. NO,2. WATER SUPPLY REDUCED,,4. Some of the time,5. None of the time,5. FIVE OR MORE,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,12,1. NFE TEMPORARILY CLOSED AT ROUND 6,,1. Open,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-07T09:28:58
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199079,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,,2020-11-22T07:57:55
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199083,21,11160.00291214329,,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,3. THREE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,2. NO,1. YES,1. WITHIN ONE WEEK,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-12T09:41:21
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199085,19,29969.7989912475,31710.981850603894,6. PROTECTED DUG WELL,,"1. YES, AT LEAST ONCE",96. OTHER (SPECIFY),the population is too much for one well,6. PROTECTED DUG WELL,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,2. Most of the time,3. About half of the time,4. FOUR,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,2. NO,1. YES,2. WITHIN ONE MONTH,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 6,2. NO,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1. YES,2. NO,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,2,2020-11-07T19:22:36
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199087,12,26249.977927592954,26951.214880933087,6. PROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",24,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,3. Gap has narrowed,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,1,2020-11-13T07:24:15
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199097,19,65896.61303665616,61460.83689730945,5. TUBE WELL/BOREHOLE,,"1. YES, AT LEAST ONCE",10. CANNOT AFFORD IT,,7. UNPROTECTED DUG WELL,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,12,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,4. Not worried at all,0,1,0,0,0,0,0,0,0,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,2. Gap has stayed the same,0,1,1,0,0,0,1,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-08T08:24:12
3. North West,20. Katsina,2018. KAITA,2. Rural,1134,200013,19,14410.199745482554,17702.903075970575,6. PROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,2. Most of the time,5. None of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,42,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,0,1,0,0,0,0,0,0,0,,4. Not a threat at all,2. NO,,,,,,,,,,2. NO,3. Gap has narrowed,0,0,1,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-07T10:53:08
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200102,12,13626.031739082855,18119.364425414256,6. PROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,2. NO,7. CANNOT AFFORD IT,,1. YES,,,2. Most of the time,1. All of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,15. BUSINESS / OFFICE CLOSED DUE TO ENDSARS PROTESTS,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,2. NFE WAS OPERATING AT ROUND 6,,2. Temporarily closed,11. LACK OF CAPITAL OR LOSS OF WORKING CAPITAL,,2. NO,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,2. NO,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,1. YES,0,2020-11-12T10:44:58
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200104,4,6628.291524940503,6485.512833072103,7. UNPROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,77,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,2. A moderate threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-12T16:11:00
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200106,19,13350.977646473784,17438.427701149114,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,12,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,3. Less than in September,4. CAN'T GET INPUTS,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,10,3. HAUSA,,1. YES,0,2020-11-12T08:39:25
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200107,1,11753.713111349814,16189.23327348357,6. PROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,2. Most of the time,4. Some of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",12,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,0,0,0,0,0,0,0,1,0,1,0,1,1. COMPLETE,2,3. HAUSA,,1. YES,0,2020-11-15T20:53:30
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200108,13,24374.161503340423,31541.507990722846,4. PUBLIC TAP/STANDPIPE,,"2. NO, ALWAYS SUFFICIENT",,,4. PUBLIC TAP/STANDPIPE,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,40,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,3. Gap has narrowed,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-10T06:55:14
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200109,19,8032.944728342,7887.728246531778,6. PROTECTED DUG WELL,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",4. As an employee for a private company or another individual (not household member),,12,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 6,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,101,3. HAUSA,,1. YES,0,2020-11-12T11:56:34
3. North West,20. Katsina,2028. MATAZU,2. Rural,498,200166,12,23948.454656296934,27891.542333798177,4. PUBLIC TAP/STANDPIPE,,"2. NO, ALWAYS SUFFICIENT",,,4. PUBLIC TAP/STANDPIPE,,1. YES,,,1. YES,,,4. Some of the time,4. Some of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,2. NO,13. FOCUS ON ANOTHER ACTIVITY,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,28,2. NFE WAS OPERATING AT ROUND 6,,2. Temporarily closed,9. SEASONAL CLOSURE,,1. YES,BUYING AND SELLING OF POTATOES,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,3. Not too worried,0,1,0,0,0,0,0,0,0,,3. Not much of a threat,1. YES,1. YES,0,0,0,0,0,1,0,,1. YES,2. Gap has stayed the same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-14T10:07:43
3. North West,20. Katsina,2021. KATSINA,1. Urban,0,200169,4,10540.926555238415,11625.508916067323,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",35,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,4. Not a threat at all,1. YES,1. YES,0,0,0,0,0,0,1,MY RELATIVES,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-08T16:53:55
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200181,19,8962.10152249803,10045.242155879863,14. BOTTLED WATER/SACHET WATER/ WATER KIOSK,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,3. About half of the time,2. Most of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,5. As an employee for the government,,48,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 6,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-11T12:52:17
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200183,13,7269.417003199577,7539.96551282404,1. PIPED INTO DWELLING/YARD/PLOT/  TO NEIGHBOR,,"2. NO, ALWAYS SUFFICIENT",,,1. PIPED INTO DWELLING/YARD/PLOT/  TO NEIGHBOR,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,40,3. NFE WAS NOT OPERATING OR WAS PERMANENTLY CLOSED AT ROUND 6,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,1,0,0,0,0,0,0,0,0,,3. Not much of a threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-10T08:18:35
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200185,21,5982.023983505055,5866.825022843254,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,24,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,2. The same as in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,2. Gap has stayed the same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-10T17:23:29
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200186,21,5641.747670109583,5949.833201612849,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,1. All of the time,2. TWO,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,40,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-12T09:58:38
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200187,4,11533.645568744774,14071.512839693873,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,6. PROTECTED DUG WELL,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",5. As an employee for the government,,24,1. NFE TEMPORARILY CLOSED AT ROUND 6,,1. Open,,,,,,,,,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,2. A moderate threat,1. YES,1. YES,0,0,1,1,1,1,0,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-13T15:48:40
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,12,5920.542632361517,5799.627204922895,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,2. NO,13. FOCUS ON ANOTHER ACTIVITY,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",4. As an employee for a private company or another individual (not household member),,3,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,2. The same as in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,2. A moderate threat,2. NO,,,,,,,,,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,10,3. HAUSA,,1. YES,0,2020-11-16T08:57:23
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,4,26215.438375090078,,5. TUBE WELL/BOREHOLE,,"2. NO, ALWAYS SUFFICIENT",,,5. TUBE WELL/BOREHOLE,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,5. FIVE OR MORE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",25,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,1,0,1,0,0,1,1,0,0,,1. A substantial threat,1. YES,1. YES,0,0,1,0,1,1,0,,1. YES,1. Gap has widened,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-08T13:46:29
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209006,1,31053.145675358268,41293.259389190665,"13. SURFACE WATER (RIVER, STREAM, POND, DAMN, CANAL)",,"2. NO, ALWAYS SUFFICIENT",,,"13. SURFACE WATER (RIVER, STREAM, POND, DAMN, CANAL)",,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. ONE,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 6 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,8,2. NFE WAS OPERATING AT ROUND 6,,1. Open,,,,,,1. Higher than in September,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1. YES,1. YES,0,0,1,0,0,0,0,,1. YES,2. Gap has stayed the same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-11-11T19:40:51
