zone,state,lga,sector,ea,hhid,pnumber_id,nbhhme,s1q13,s1q15,s1q15_os
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199007,3,,2. NO,,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199008,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199008,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199008,3,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199008,4,,2. NO,,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199008,5,2,1. YES,2. SPOUSE,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199011,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199012,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199012,2,,2. NO,,
3. North West,19. Kano,1919. GWARZO,2. Rural,596,199013,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1919. GWARZO,2. Rural,596,199019,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1919. GWARZO,2. Rural,596,199019,2,,2. NO,,
3. North West,19. Kano,1919. GWARZO,2. Rural,596,199021,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1919. GWARZO,2. Rural,596,199021,2,,2. NO,,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199030,1,,2. NO,,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199030,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199031,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199031,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199031,3,,2. NO,,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199035,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199035,2,,2. NO,,
3. North West,19. Kano,1924. KIRU,2. Rural,356,199035,3,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199037,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199037,2,,2. NO,,
3. North West,19. Kano,1927. KURA,2. Rural,622,199038,1,,2. NO,,
3. North West,19. Kano,1927. KURA,2. Rural,622,199038,2,2,1. YES,2. SPOUSE,
3. North West,19. Kano,1927. KURA,2. Rural,622,199040,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199040,2,,2. NO,,
3. North West,19. Kano,1927. KURA,2. Rural,622,199040,3,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199040,4,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199041,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199041,2,2,1. YES,2. SPOUSE,
3. North West,19. Kano,1927. KURA,2. Rural,622,199041,3,,2. NO,,
3. North West,19. Kano,1927. KURA,2. Rural,622,199044,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199044,2,8,1. YES,2. SPOUSE,
3. North West,19. Kano,1927. KURA,2. Rural,622,199044,3,,2. NO,,
3. North West,19. Kano,1927. KURA,2. Rural,622,199048,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199048,2,4,1. YES,3. OWN CHILD,
3. North West,19. Kano,1927. KURA,2. Rural,622,199048,3,,2. NO,,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199054,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199056,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199056,2,,2. NO,,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199056,3,1,1. YES,1. HEAD,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199058,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199059,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199059,2,,2. NO,,
3. North West,19. Kano,1929. MAKODA,2. Rural,108,199060,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199064,1,,2. NO,,
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199064,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199067,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199067,2,,2. NO,,
3. North West,19. Kano,1933. RIMIN GADO,2. Rural,330,199071,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199075,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199075,2,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199077,1,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199077,2,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199078,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199078,2,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199079,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199079,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199079,3,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199083,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199083,2,1,1. YES,1. HEAD,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199083,3,,2. NO,,
3. North West,19. Kano,1940. TSANYAWA,2. Rural,648,199083,4,1,1. YES,1. HEAD,
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199085,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199085,2,,2. NO,,
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199085,3,1,1. YES,1. HEAD,
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199087,1,,2. NO,,
3. North West,19. Kano,1941. TUDUN WADA,2. Rural,1112,199087,2,,2. NO,,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199097,1,1,1. YES,1. HEAD,
3. North West,19. Kano,1909. DAWAKIN KUDU,2. Rural,1684,199097,2,,2. NO,,
3. North West,20. Katsina,2018. KAITA,2. Rural,1134,200013,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200102,1,2,1. YES,2. SPOUSE,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200102,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200104,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200104,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200104,3,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200104,4,301,1. YES,7. BROTHER/SISTER,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200106,1,10,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200106,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200107,1,2,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200107,2,3,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200108,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200108,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200109,1,101,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,760,200109,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2028. MATAZU,2. Rural,498,200166,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2028. MATAZU,2. Rural,498,200166,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2028. MATAZU,2. Rural,498,200166,3,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,0,200169,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200181,1,1,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200181,2,,2. NO,,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200183,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200183,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200185,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200185,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200185,3,,2. NO,,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200186,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200186,2,3,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200186,3,,2. NO,,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200187,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200187,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,1,10,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,2,,2. NO,,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,3,,2. NO,,
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,4,2,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,2,,2. NO,,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,3,,2. NO,,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,4,,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209006,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209006,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209006,3,,2. NO,,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209007,1,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209007,2,,2. NO,,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209007,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209007,4,101,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,4,,2. NO,,
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,5,,2. NO,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209014,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209014,2,,2. NO,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209018,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209018,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209018,3,,2. NO,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209018,4,,2. NO,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,2,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,2,,2. NO,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,3,,2. NO,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,2,2,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,3,,2. NO,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,3,,2. NO,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,2,,2. NO,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,2,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,1,3,1. YES,6. GRANDCHILD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,2,2,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,3,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209042,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209042,2,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209042,3,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,2,5,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,3,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,1,5,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,2,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,3,,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209048,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,2. Rural,2102,209056,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,2. Rural,2102,209056,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2016. JIBIA,2. Rural,2102,209056,3,,2. NO,,
3. North West,20. Katsina,2016. JIBIA,2. Rural,2102,209056,4,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,2,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,2,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,2,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,3,5,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,4,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,5,2,1. YES,2. SPOUSE,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,6,4,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,2,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209075,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209075,2,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209075,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,1,3,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,3,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,2,2,1. YES,2. SPOUSE,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,3,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209080,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209080,2,,2. NO,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209083,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209083,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209085,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209085,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209087,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209087,2,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209089,1,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209089,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209091,1,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209091,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209091,3,,2. NO,,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209095,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2025. MALUNFASHI,2. Rural,2222,209095,2,,2. NO,,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209098,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209098,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209098,3,,2. NO,,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209099,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209099,2,,2. NO,,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209100,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209100,2,,2. NO,,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209107,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2026. MANI,2. Rural,1216,209107,2,,2. NO,,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209113,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209113,2,,2. NO,,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209113,3,,2. NO,,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209114,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209114,2,5,1. YES,3. OWN CHILD,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209114,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209115,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209115,2,,2. NO,,
3. North West,20. Katsina,2032. SAFANA,2. Rural,50,209115,3,1,1. YES,1. HEAD,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209121,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209121,2,1,1. YES,1. HEAD,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209121,3,,2. NO,,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209130,1,,2. NO,,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209130,2,,2. NO,,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209130,3,,2. NO,,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209130,4,4,1. YES,1. HEAD,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209131,1,1,1. YES,1. HEAD,
3. North West,20. Katsina,2034. ZANGO,2. Rural,908,209131,2,,2. NO,,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210002,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210002,2,,2. NO,,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210004,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210004,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210004,3,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210004,4,,2. NO,,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210006,1,4,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210006,2,5,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2106. BIRNIN KEBBI,2. Rural,2822,210006,3,3,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210057,1,,2. NO,,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210057,2,8,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210058,1,6,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210058,2,6,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210058,3,6,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210058,4,,2. NO,,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,926,210058,5,101,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219001,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219001,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219001,3,,2. NO,,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219001,4,8,1. YES,2. SPOUSE,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219002,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219002,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219002,3,,2. NO,,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219004,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219004,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219004,3,,2. NO,,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219006,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219006,2,,2. NO,,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219009,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2101. ALEIRO,1. Urban,148,219009,2,,2. NO,,
3. North West,21. Kebbi,2111. GWANDU,2. Rural,260,219032,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219038,1,,2. NO,,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219038,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219038,3,,2. NO,,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219041,1,,2. NO,,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219045,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219045,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2112. JEGA,2. Rural,442,219045,3,,2. NO,,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219054,1,101,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219054,2,101,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219054,3,101,1. YES,3. OWN CHILD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219054,4,,2. NO,,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219056,1,,2. NO,,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219056,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219056,3,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219057,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219057,2,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219057,3,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2115. MAIYAMA,2. Rural,548,219057,4,,2. NO,,
3. North West,21. Kebbi,2119. SURU,2. Rural,3992,219067,1,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2119. SURU,2. Rural,3992,219067,2,,2. NO,,
3. North West,21. Kebbi,2119. SURU,2. Rural,3992,219067,3,1,1. YES,1. HEAD,
3. North West,21. Kebbi,2119. SURU,2. Rural,3992,219070,1,1,1. YES,1. HEAD,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,428,220021,1,1,1. YES,1. HEAD,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,428,220021,2,2,1. YES,2. SPOUSE,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,428,220021,3,,2. NO,,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,0,220024,1,1,1. YES,1. HEAD,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,0,220024,2,,2. NO,,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,0,220024,3,,2. NO,,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,0,220024,4,101,1. YES,2. SPOUSE,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,0,220024,5,1,1. YES,1. HEAD,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,428,220026,1,1,1. YES,1. HEAD,
1. North Central,22. Kogi,2216. OKEHI,1. Urban,428,220026,2,,2. NO,,
