zone,state,lga,sector,ea,hhid,baseline_date,interviewer_id,wt_round2,s2q0a,s2q0b,s5q1e,s5q1f,s5q1f_os,s5q1a,s5q1a1,s5q1a1_os,s5q1b,s5q1b1,s5q1b1_os,s5q1c,s5q1d,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8d__1,s6q8d__2,s6q8d__3,s6q8d__4,s6q8e,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q12,s6q13,s6q14,s6q14_os,s6q15__1,s6q15__2,s6q15__3,s6q15__4,s6q15__5,s6q15__6,s6q15__96,s6q15_os,s6q15a,s6q15b__1,s6q15b__2,s6q15b__3,s6q15b__4,s6q15b__5,s6q15b__6,s6q15b__96,s6q15b_os,s6q16,s6q17,s6q18_1,s6q18_2,s6q18_3,s6q18_os,s6q19,s6q20__1,s6q20__2,s6q20__3,s6q20__4,s6q20__5,s6q20__6,s6q20__7,s6q20__96,s6q20_os,s6q21a__1,s6q21a__2,s6q21a__3,s6q21a__4,s6q21a__5,s6q21a__6,s6q21a__7,s6q21a__8,s6q21a__96,s6q21a_os,s6q21b__1,s6q21b__2,s6q21b__3,s6q21b__4,s6q21b__5,s6q21b__6,s6q21b__7,s6q21b__8,s6q21b__96,s6q21b_os,s6q22__1,s6q22__2,s6q22__3,s6q22__4,s6q22__5,s6q22__6,s6q22__96,s6q22_os,s6q23,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10a,s12q10_os,s12q11,s12q14
6. South West,30. Oyo,3002. AKINYELE,1. Urban,0,300139,April 20,14,13685.061891431824,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),2. NO,2. Partial payment,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-02T14:36:49
6. South West,30. Oyo,3002. AKINYELE,1. Urban,1264,300146,May 01,22,6522.6094589536515,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,4. Some of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),BECAUSE THERE IS NO MONEY,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,96. OTHER (SPECIFY),THERE IS NO MONEY,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,1020. CASSAVA,1080. MAIZE,9999. OTHER CROP (SPECIFY),POTATO,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,NO MONEY,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,0,0,0,0,0,0,1,0,0,0,1,1. COMPLETE,2,4. YORUBA,1. YES,,0,2020-06-07T21:03:24
6. South West,30. Oyo,3002. AKINYELE,1. Urban,1264,300148,May 05,4,5750.601534888324,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,1. YES,1,1,0,1,1,1,1,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",2. The same,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,1. YES,1,1,1,1,1,1,0,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,4,1. ENGLISH,,,0,2020-06-02T13:10:35
6. South West,30. Oyo,3002. AKINYELE,1. Urban,1264,300149,April 24,8,7285.366376575747,2. NO,1. YES,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,1. YES,1. YES,,,1. YES,1. YES,0,1,1,0,1,1,1,0,,1. YES,1,0,0,1,1,0,0,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",4. As an employee for a private company or another individual (not household member),1. YES,,,,50,1. More hours,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,96. OTHER (SPECIFY),,ENGLISH/YORUBA,0,2020-06-03T08:47:39
6. South West,30. Oyo,3023. OGO OLUWA,2. Rural,622,300175,April 29,22,39851.590053381995,2. NO,1. YES,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,2. NO,2. NO MEDICAL PERSONNEL AVAILABLE,,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,1. YES,101,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1124. YAM,1020. CASSAVA,1080. MAIZE,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-08T20:39:37
6. South West,30. Oyo,3023. OGO OLUWA,2. Rural,622,300176,May 04,5,18477.331329230128,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,1,1,0,0,0,,1. YES,0,0,0,1,0,0,0,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",2. The same,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,2170. PLANTAIN,9999. OTHER CROP (SPECIFY),1020. CASSAVA,Cashew,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,No money to carry out activities,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-12T10:34:35
6. South West,30. Oyo,3023. OGO OLUWA,2. Rural,622,300177,April 23,22,15588.391304061728,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,3040. COCOA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-11T18:07:34
6. South West,30. Oyo,3023. OGO OLUWA,2. Rural,622,300178,May 09,22,13860.006346184371,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1124. YAM,1080. MAIZE,1020. CASSAVA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-10T19:27:01
6. South West,30. Oyo,3005. EGBEDA,1. Urban,3648,309001,April 26,8,23438.46899902634,1. YES,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,2. Most of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,1. Open,,,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",,,,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,1124. YAM,,1. YES,0,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,0,0,0,1,0,0,0,0,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-06-10T22:02:08
6. South West,30. Oyo,3005. EGBEDA,1. Urban,3648,309006,May 05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. NOBODY ANSWERING,,,,,,2020-06-16T22:10:33
6. South West,30. Oyo,3005. EGBEDA,1. Urban,3648,309009,April 29,22,27572.147749736,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),2. NO,3. No payment,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,101,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,1,1,1,0,1,0,1,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-04T15:01:57
6. South West,30. Oyo,3005. EGBEDA,1. Urban,3648,309010,May 02,22,22648.932775926725,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,1. YES,0,1,0,0,1,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,1. YES,2,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1080. MAIZE,1090. MELON/EGUSI,,1. YES,0,0,1,1,0,1,1,0,,1,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,0,0,0,0,0,0,0,1,0,0,1,1,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-04T11:31:26
6. South West,30. Oyo,3006. IBADAN NORTH,1. Urban,520,309016,April 21,22,12098.450439652763,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,0,0,0,1,0,0,0,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),1. YES,,,,19,2. Same number of hours,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-14T16:50:54
6. South West,30. Oyo,3006. IBADAN NORTH,1. Urban,520,309019,April 29,14,15554.50846297093,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,2. Most of the time,5. None of the time,1. YES,2. NO,96. OTHER (SPECIFY),visited a pharmacy instead.,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,1. YES,1,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,,2. NO,,,,,,,,,1. YES,,9999. OTHER CROP (SPECIFY),,,vegetables,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,101,1. ENGLISH,,,0,2020-06-12T21:09:01
6. South West,30. Oyo,3006. IBADAN NORTH,1. Urban,520,309022,April 27,5,31337.24299521727,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,3. NOT WORKING BEFORE MID-MARCH NOR AT BASELINE,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,1. YES,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,2170. PLANTAIN,1020. CASSAVA,9999. OTHER CROP (SPECIFY),Cocoa,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,No money to do farming,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-13T12:53:52
6. South West,30. Oyo,3011. IBARAPA CENTRAL,2. Rural,306,309027,April 30,22,48719.12277905997,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,0,1,0,,2. NO,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1124. YAM,1020. CASSAVA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-03T13:08:28
6. South West,30. Oyo,3011. IBARAPA CENTRAL,2. Rural,306,309036,April 27,5,52955.84209373865,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,2. Most of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",2. The same,,,2. NO,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,Increase in price of things used for work,2. NO,,,,,,,,,1. YES,,1020. CASSAVA,1124. YAM,1080. MAIZE,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-16T09:50:13
6. South West,30. Oyo,3013. IBARAPA NORTH,1. Urban,282,309037,May 04,14,18514.036639143527,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,4. Some of the time,1. All of the time,2. NO,,,,1. YES,1. YES,0,0,0,0,1,0,0,0,,1. YES,0,0,0,0,0,0,1,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,4. CONSTRUCTION,1. Higher,,,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,Travel ban is affecting his farming business.,2. NO,,,,,,,,,1. YES,,1080. MAIZE,1090. MELON/EGUSI,1020. CASSAVA,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,2. NO,,0,2020-06-11T16:37:10
6. South West,30. Oyo,3013. IBARAPA NORTH,1. Urban,282,309039,April 30,22,33111.102223979964,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,1. YES,2. NO,1. LACK OF MONEY,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. WORKING BEFORE MID-MARCH BUT NOT AT BASELINE,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,2. NO,,,,,1. NFE OPERATING BEFORE MID-MARCH BUT NOT AT BASELINE,,2. Temporarily closed,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,1. YES,1,1,1,0,0,1,0,,1. YES,,1080. MAIZE,1020. CASSAVA,1124. YAM,,3. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-06T16:48:30
6. South West,30. Oyo,3013. IBARAPA NORTH,1. Urban,282,309044,May 01,22,42911.685025879924,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,1. YES,,,1. YES,,,1. All of the time,1. All of the time,2. NO,,,,1. YES,1. YES,1,1,1,0,1,1,1,0,,1. YES,0,0,1,1,0,1,1,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,2. NFE WAS OPERATING AT BASELINE,,1. Open,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. Higher,,,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,PROBLEM OF TRANSPORTATION,1. YES,1,1,1,1,1,0,0,,1. YES,,1020. CASSAVA,2170. PLANTAIN,1124. YAM,,1. YES,0,0,0,1,0,0,1,0,,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,0,0,1,1,0,0,0,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,0,0,0,0,0,0,0,1,0,0,1,0,1. COMPLETE,1,4. YORUBA,1. YES,,0,2020-06-10T10:33:33
6. South West,30. Oyo,3015. IREPO,2. Rural,0,309050,May 04,8,14876.42286023252,2. NO,2. NO,"2. NO, ALWAYS SUFFICIENT",,,2. NO,5. INCREASE IN PRICE,,1. YES,,,4. Some of the time,3. About half of the time,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,2. WORKING AT BASELINE,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,2. NO,,,,,3. NFE WAS NOT OPERATING BEFORE MID-MARCH NOR AT BASELINE,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,1124. YAM,1080. MAIZE,1020. CASSAVA,,1. YES,0,1,0,0,1,0,1,0,,0,0,1,0,0,0,0,1,1,Very expensive to purchase fertilizer,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,0,0,1,0,0,0,1,1. COMPLETE,1,1. ENGLISH,,,2,2020-06-13T08:52:17
