zone,state,lga,sector,ea,hhid,interviewer_id,wt_round5,wt_r5panel,s2q0a,s2q0b,filter1,s5cq1,s5cq2__1,s5cq2__2,s5cq2__14,s5cq2__3,s5cq2__4,s5cq2__5,s5cq2__6,s5cq2__7,s5cq2__8,s5cq2__9,s5cq2__10,s5cq2__11,s5cq2__12,s5cq2__13,s5cq2__96,s5cq2_os,s5cq3,s5cq4__1,s5cq4__2,s5cq4__3,s5cq4__4,s5cq4__5,s5cq4__6,s5cq4__7,s5cq4__8,s5cq4__9,s5cq4__10,s5cq4__11,s5cq4__99,s5cq4__98,s5cq5,filter2,s5cq6,s5cq7__1,s5cq7__2,s5cq7__3,s5cq7__4,s5cq7__5,s5cq7__6,s5cq7__7,s5cq7__96,s5cq7_os,s5cq8,s5cq9__1,s5cq9__2,s5cq9__3,s5cq9__4,s5cq9__5,s5cq9__6,s5cq9__7,emp_case,emp_respondent,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q8b1,s6q8c1,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq12,s6aq10,crop_filter2,s6aq11,livest_filter3,s6bq1,s6bq6a,s6bq6,livest_filter4,s6bq7,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
2. North East,15. Gombe,1503. BILLIRI,2. Rural,864,159016,19,1322.4370539927659,1432.5460199051352,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,1. YES,,1. YES,2. Higher,0,0,0,0,0,0,0,1,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-13T09:16:51
2. North East,15. Gombe,1503. BILLIRI,2. Rural,864,159018,21,1121.323582970254,1142.382024521649,1. YES,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,1,1,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",12,12,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,4. Lower,1. YES,,1. YES,1. Much higher,1. YES,,1. YES,,1. YES,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-11T20:06:03
2. North East,15. Gombe,1503. BILLIRI,2. Rural,1076,159025,19,3070.939941873577,3181.8519757148774,1. YES,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,1,0,0,0,0,0,2. Somewhat satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",25,20,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,3. Permanently closed,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-07T08:15:36
2. North East,15. Gombe,1503. BILLIRI,2. Rural,1076,159027,13,2617.6257118604285,2697.692528238356,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",12,20,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,2. NO,,,,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,3. The same,1,0,0,0,0,0,0,0,0,1,1,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-10T11:32:45
2. North East,15. Gombe,1503. BILLIRI,2. Rural,1076,159034,4,1454.4897884017716,1497.8322479196663,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,98. DON'T KNOW,6. ILL / QUARANTINED,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,6. ILL / QUARANTINED DUE TO CORONAVIRUS,,2. NO,,,,,,1. YES,,5. Much lower,2. NO,,2. NO,,1. YES,,1. YES,,1. YES,5. Much lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T22:12:01
2. North East,15. Gombe,1503. BILLIRI,2. Rural,1076,159035,21,2202.713197551101,2181.5841293944645,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,3,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,84,84,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,3. The same,1. YES,,1. YES,3. The same,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,3. HAUSA,,1. YES,0,2020-09-11T15:07:54
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159037,13,3227.463957693329,3250.7383973341925,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,1. YES,1,1,1,1,1,0,1,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",12,12,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,3. The same,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-08T11:32:13
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159039,4,2298.9095681955187,2322.0148396236345,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,1.5,8,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,4. Lower,2. NO,,1. YES,,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-08T11:00:08
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159040,12,3178.700022521383,3120.1631837833424,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,98. DON'T KNOW,11. NOT ABLE TO FARM DUE TO LACK OF INPUTS,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-10T11:00:08
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159043,4,2741.187118943697,2711.427937566578,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,0,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,9. SEASONAL CLOSURE,,2. NO,,,,,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,2. NO,,2. NO,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-07T10:59:27
2. North East,15. Gombe,1506. GOMBE,1. Urban,244,159045,12,2855.3239183980213,2796.127719499086,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,2. NO,2. PREVIOUS BUSINESS / JOB CLOSED FOR ANOTHER REASON,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,7,7,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,4. CAN'T GET INPUTS,,2. NO,,,,,,1. YES,,4. Lower,2. NO,,2. NO,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T08:37:01
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159048,21,3194.8422813135426,3217.8814739468985,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,,5. As an employee for the government,,40,40,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,1. YES,,1. YES,98. DON'T KNOW,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-09T10:05:55
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159050,19,2458.466257525354,2455.375349325356,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,1,1,0,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,2. NO,1. YES,98. DON'T KNOW,4. TEMPORARILY LAID OFF/LEAVE OF ABSENCE (FURLOUGHED),,,,,,,,,,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",,,,,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,3. The same,2. NO,,2. NO,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,1. YES,1,2020-09-09T07:38:24
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159051,12,3401.840647421873,3432.643635974656,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,30,30,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-11T11:01:21
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159052,1,2417.608875396356,2382.9948607486576,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,0,1,1,0,,2. NO,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,2. NO,,,,,,1. YES,5. REGISTER WITH PRIVATE RECRUITMENT OFFICES,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-10T20:22:41
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159055,21,3213.769101929884,3119.8239640128827,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",4,16,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,98. DON'T KNOW,1. YES,,1. YES,1. Much higher,1. YES,,1. YES,,1. YES,1. Much higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-11T08:23:24
2. North East,15. Gombe,1506. GOMBE,1. Urban,458,159059,4,2075.439232126435,2065.368991229727,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,1,0,1,1,0,0,,2. NO,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,2,1. YES,,,,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,70,70,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,2. NO,,,,,4. NOT APPLICABLE,,1. YES,,2. NO,,2. NO,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,3. HAUSA,,1. YES,0,2020-09-07T14:59:31
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159061,21,3015.7368608835845,2960.6873809247936,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,77,77,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,2. NO,,,,,4. NOT APPLICABLE,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-12T08:32:05
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159062,21,2096.5545665160917,2090.8675245214777,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,42,42,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,4. Lower,2. NO,,1. YES,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-11T09:16:32
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159063,1,2558.3127842386216,2490.6934201883823,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,2. NO,1. YES,1. WITHIN ONE WEEK,96. OTHER (SPECIFY),LACK OF MONEY TO CONTINUED WITH BUSINESS.,,,,,,,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,4. CAN'T GET INPUTS,,2. NO,,,,,,1. YES,,5. Much lower,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-14T11:23:44
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159064,19,2721.542210903833,2674.4581660842828,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,5,998. DON'T KNOW,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,1. YES,,1. Much higher,1. YES,,2. NO,,1. YES,,2. NO,,1. YES,,0,1,1,0,0,0,1,1,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,2,2020-09-19T19:30:18
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159065,1,3102.4771759488553,3045.503691439118,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,0,1,1,1,0,1,1,1,0,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",54,54,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,1. YES,,2. NO,1. YES,2. NO,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-14T10:45:19
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159066,21,4409.145314861042,4377.1680159427415,2. NO,1. YES,1. YES,2. NO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",35,35,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,1. Higher than in July,,,1. YES,,2. Higher,1. YES,,1. YES,2. Higher,1. YES,,1. YES,,1. YES,2. Higher,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,3,2020-09-13T09:08:15
2. North East,15. Gombe,1506. GOMBE,1. Urban,1328,159071,12,6311.129224411378,6501.787685551176,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),HE EMPLOYED SOMEONE TO WORK ON HIS FARM,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,25,25,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,3. Less than in July,3. NO COSTUMERS / FEWER CUSTOMERS,,1. YES,,98. DON'T KNOW,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-12T12:30:45
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159072,4,4582.035762029635,4695.644381546459,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",15,15,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,4. Lower,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-08T13:26:04
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159073,12,6291.456400260505,6403.274064816808,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3. Satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,3,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,16,12,2. NFE WAS OPERATING AT ROUND 4,,1. Open,,,,,,2. The same as in July,,,1. YES,,4. Lower,1. YES,,2. NO,,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,3. HAUSA,,1. YES,0,2020-09-10T13:43:33
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159074,21,5002.605209741103,5331.599236647968,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,2. NO,,,,,,,,,,1. YES,1,0,0,1,0,0,0,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",8,8,2. NFE WAS OPERATING AT ROUND 4,,2. Temporarily closed,5. CAN'T TRAVEL / TRANSPORT GOODS FOR TRADE,,2. NO,,,,,,1. YES,,4. Lower,1. YES,,1. YES,5. Much lower,2. NO,2. NO,,,3. NO PREVIOUS RESPONSE,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-14T11:29:25
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159076,19,5017.229747918433,5165.155131463098,2. NO,2. NO,1. YES,2. NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1. YES,1. YES,1,0,0,0,1,1,0,0,,2. NO,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,,48,48,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,3. Permanently closed,4. CAN'T GET INPUTS,,1. YES,sells peppe,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,5. Much lower,2. NO,,1. YES,,1. YES,,2. NO,,1. YES,,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-15T19:34:00
2. North East,15. Gombe,1509. NAFADA,2. Rural,388,159078,12,4582.035762029635,4695.644381546459,2. NO,2. NO,1. YES,1. YES,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,0,0,1,0,0,2. Somewhat satisfied,2. NO,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 4 INTERVIEW,1,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",30,30,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 4,2. NO,,,,,,,,,,1. YES,,2. Higher,2. NO,,1. YES,,1. YES,,1. YES,,1. YES,4. Lower,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-09-12T14:35:20
