zone,state,lga,sector,ea,hhid,indiv,s2q2,s2q3,s2q4,s2q4_os,s2q5,s2q6,s2q7a,s2q7,s2q7_os,s2q8,s2q8_os,s2q9,s2q9_os
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159101,101,2. NO,1. YES,,,2. FEMALE,20,1. YES,6. GRANDCHILD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159101,102,2. NO,1. YES,,,1. MALE,35,1. YES,3. OWN CHILD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159101,401,1. YES,,,,1. MALE,27,1. YES,8. NIECE/NEPHEW,,7. MOVED IN WITH PARENT OR RELATIVE,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159101,402,1. YES,,,,1. MALE,30,1. YES,8. NIECE/NEPHEW,,7. MOVED IN WITH PARENT OR RELATIVE,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159102,1,2. NO,1. YES,,,1. MALE,66,1. YES,1. HEAD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159102,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159102,3,2. NO,1. YES,,,1. MALE,31,1. YES,3. OWN CHILD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159102,5,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159102,201,2. NO,1. YES,,,2. FEMALE,20,1. YES,14. OTHER RELATION (SPECIFY),DAUGHTER-IN-LAW,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,1,2. NO,1. YES,,,1. MALE,31,1. YES,1. HEAD,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,2,2. NO,1. YES,,,2. FEMALE,23,1. YES,2. SPOUSE,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,3,2. NO,1. YES,,,1. MALE,36,1. YES,7. BROTHER/SISTER,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,4,2. NO,1. YES,,,2. FEMALE,56,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,5,2. NO,1. YES,,,2. FEMALE,21,1. YES,7. BROTHER/SISTER,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,101,2. NO,1. YES,,,1. MALE,19,1. YES,8. NIECE/NEPHEW,,,,,
2. North East,15. Gombe,1511. YAMALTU-DEBA,2. Rural,1498,159105,102,2. NO,1. YES,,,2. FEMALE,18,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160001,1,2. NO,1. YES,,,1. MALE,78,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160001,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160002,1,2. NO,1. YES,,,1. MALE,62,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160002,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160002,7,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160002,101,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160002,301,2. NO,1. YES,,,1. MALE,15,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160003,1,2. NO,1. YES,,,1. MALE,57,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160003,2,2. NO,1. YES,,,2. FEMALE,51,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160003,3,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160003,4,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160004,1,2. NO,1. YES,,,2. FEMALE,82,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160004,2,2. NO,1. YES,,,2. FEMALE,52,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160004,3,2. NO,1. YES,,,1. MALE,33,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160004,4,2. NO,1. YES,,,1. MALE,30,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160004,7,2. NO,1. YES,,,1. MALE,15,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,1,2. NO,1. YES,,,1. MALE,60,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,2,2. NO,1. YES,,,2. FEMALE,49,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,4,2. NO,1. YES,,,1. MALE,22,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,5,2. NO,1. YES,,,1. MALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,6,2. NO,1. YES,,,1. MALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,7,2. NO,1. YES,,,2. FEMALE,43,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,8,2. NO,1. YES,,,2. FEMALE,21,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,9,2. NO,1. YES,,,1. MALE,19,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160005,10,2. NO,1. YES,,,2. FEMALE,19,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160006,1,2. NO,1. YES,,,1. MALE,72,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160006,2,2. NO,1. YES,,,2. FEMALE,67,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160006,5,2. NO,1. YES,,,1. MALE,20,1. YES,12. DOMESTIC HELP (RESIDENT),,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160008,1,2. NO,1. YES,,,1. MALE,73,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160008,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160008,3,2. NO,1. YES,,,2. FEMALE,21,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1626. OWERRI NORTH,2. Rural,1546,160008,4,2. NO,1. YES,,,1. MALE,7,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,1,2. NO,1. YES,,,1. MALE,61,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,2,2. NO,1. YES,,,2. FEMALE,51,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,3,2. NO,1. YES,,,1. MALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,4,2. NO,1. YES,,,1. MALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,5,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1620. ONO-IMO,2. Rural,0,160010,7,2. NO,1. YES,,,1. MALE,19,1. YES,5. ADOPTED CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160018,2,2. NO,1. YES,,,2. FEMALE,48,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160018,6,2. NO,1. YES,,,1. MALE,26,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160018,8,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160018,401,1. YES,,,,2. FEMALE,12,1. YES,8. NIECE/NEPHEW,,7. MOVED IN WITH PARENT OR RELATIVE,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,1,2. NO,1. YES,,,1. MALE,62,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,2,2. NO,1. YES,,,2. FEMALE,44,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,3,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,4,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,5,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,6,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,7,2. NO,1. YES,,,1. MALE,4,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160035,8,2. NO,1. YES,,,1. MALE,1,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,1,2. NO,1. YES,,,1. MALE,89,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,4,2. NO,2. NO,3. LEFT FOR WORK,,,,1. YES,,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,5,2. NO,2. NO,4. LEFT TO FIND BETTER LAND,,,,1. YES,,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,6,2. NO,2. NO,4. LEFT TO FIND BETTER LAND,,,,1. YES,,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,7,2. NO,2. NO,4. LEFT TO FIND BETTER LAND,,,,1. YES,,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160036,8,2. NO,2. NO,9. MOVED WITH FAMILY,,,,1. YES,,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160041,2,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160041,3,2. NO,1. YES,,,2. FEMALE,37,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160041,5,2. NO,1. YES,,,2. FEMALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1622. ORSU,1. Urban,136,160041,6,2. NO,1. YES,,,2. FEMALE,3,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160051,1,2. NO,1. YES,,,1. MALE,49,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160051,2,2. NO,1. YES,,,2. FEMALE,41,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160051,3,2. NO,1. YES,,,1. MALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160057,1,2. NO,1. YES,,,1. MALE,74,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160057,2,2. NO,1. YES,,,2. FEMALE,65,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1613. NJABA,2. Rural,440,160057,7,2. NO,1. YES,,,2. FEMALE,59,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160145,2,2. NO,1. YES,,,1. MALE,68,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160145,4,2. NO,1. YES,,,2. FEMALE,46,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160145,5,2. NO,1. YES,,,2. FEMALE,5,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160145,6,2. NO,1. YES,,,2. FEMALE,63,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,3,2. NO,1. YES,,,2. FEMALE,35,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,4,2. NO,1. YES,,,1. MALE,39,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,7,2. NO,1. YES,,,1. MALE,24,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,8,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,10,2. NO,1. YES,,,2. FEMALE,6,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160147,101,2. NO,1. YES,,,1. MALE,27,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160150,1,2. NO,1. YES,,,2. FEMALE,46,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160150,4,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160150,5,2. NO,1. YES,,,2. FEMALE,24,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160152,1,2. NO,1. YES,,,1. MALE,76,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160152,101,2. NO,1. YES,,,2. FEMALE,15,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1605. IDEATO NORTH,2. Rural,180,160152,102,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,1,2. NO,1. YES,,,1. MALE,46,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,2,2. NO,1. YES,,,2. FEMALE,42,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,3,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,4,2. NO,1. YES,,,1. MALE,10,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,5,2. NO,1. YES,,,1. MALE,6,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1601. ABOH MBAISE,2. Rural,2484,169004,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169017,1,2. NO,1. YES,,,1. MALE,54,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169018,1,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169018,401,1. YES,,,,1. MALE,14,1. YES,3. OWN CHILD,,10. MISTAKENLY NOT REPORTED OR FORGOTTEN LAST VISIT,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,1,2. NO,1. YES,,,1. MALE,63,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,2,2. NO,1. YES,,,2. FEMALE,55,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,3,2. NO,1. YES,,,2. FEMALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,4,2. NO,1. YES,,,2. FEMALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,5,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,6,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,7,2. NO,1. YES,,,1. MALE,23,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,8,2. NO,1. YES,,,2. FEMALE,20,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,10,2. NO,1. YES,,,2. FEMALE,10,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1602. AHIAZU MBAISE,2. Rural,234,169021,11,2. NO,1. YES,,,2. FEMALE,5,1. YES,8. NIECE/NEPHEW,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,1,2. NO,1. YES,,,2. FEMALE,46,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,2,2. NO,1. YES,,,2. FEMALE,17,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,3,2. NO,1. YES,,,2. FEMALE,15,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,4,2. NO,1. YES,,,2. FEMALE,13,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,5,2. NO,1. YES,,,2. FEMALE,11,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,6,2. NO,1. YES,,,2. FEMALE,9,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,101,2. NO,1. YES,,,1. MALE,57,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169026,201,2. NO,1. YES,,,1. MALE,60,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169027,1,2. NO,1. YES,,,1. MALE,69,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169027,2,2. NO,1. YES,,,2. FEMALE,64,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169033,1,2. NO,1. YES,,,1. MALE,42,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169033,2,2. NO,1. YES,,,2. FEMALE,35,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169033,3,2. NO,1. YES,,,2. FEMALE,2,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169033,101,2. NO,1. YES,,,2. FEMALE,0,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,1,2. NO,1. YES,,,1. MALE,39,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,2,2. NO,1. YES,,,2. FEMALE,37,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,3,2. NO,1. YES,,,2. FEMALE,59,1. YES,10. PARENT,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,4,2. NO,1. YES,,,1. MALE,37,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,5,2. NO,1. YES,,,1. MALE,34,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,6,2. NO,1. YES,,,1. MALE,26,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,7,2. NO,1. YES,,,2. FEMALE,24,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169035,8,2. NO,1. YES,,,2. FEMALE,19,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169040,1,2. NO,1. YES,,,2. FEMALE,93,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169040,2,2. NO,1. YES,,,2. FEMALE,73,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169044,1,2. NO,1. YES,,,2. FEMALE,69,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169044,2,2. NO,1. YES,,,1. MALE,43,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169044,3,2. NO,1. YES,,,2. FEMALE,15,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169047,2,2. NO,1. YES,,,1. MALE,44,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1608. IKEDURU,2. Rural,1480,169047,101,2. NO,1. YES,,,2. FEMALE,65,1. YES,7. BROTHER/SISTER,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169054,1,2. NO,1. YES,,,2. FEMALE,66,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169054,2,2. NO,1. YES,,,2. FEMALE,36,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169054,301,2. NO,1. YES,,,2. FEMALE,25,1. YES,13. DOMESTIC HELP (NON RESIDENT),,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169059,1,2. NO,1. YES,,,2. FEMALE,56,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169059,2,2. NO,1. YES,,,1. MALE,27,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,1,2. NO,1. YES,,,1. MALE,59,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,2,2. NO,1. YES,,,2. FEMALE,53,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,3,2. NO,1. YES,,,1. MALE,31,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,4,2. NO,1. YES,,,2. FEMALE,28,1. YES,9. BROTHER/SISTER-IN-LAW,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,5,2. NO,1. YES,,,1. MALE,7,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,6,2. NO,1. YES,,,2. FEMALE,6,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,7,2. NO,1. YES,,,1. MALE,4,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169061,8,2. NO,1. YES,,,1. MALE,2,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,1,2. NO,1. YES,,,1. MALE,89,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,2,2. NO,1. YES,,,2. FEMALE,61,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,101,2. NO,2. NO,10. LEFT TO SET UP OWN HOME,,,,1. YES,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,102,2. NO,2. NO,9. MOVED WITH FAMILY,,,,1. YES,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169063,103,2. NO,2. NO,9. MOVED WITH FAMILY,,,,1. YES,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169066,1,2. NO,1. YES,,,2. FEMALE,47,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169066,2,2. NO,1. YES,,,2. FEMALE,14,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169066,3,2. NO,1. YES,,,1. MALE,12,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,1,2. NO,1. YES,,,1. MALE,61,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,2,2. NO,1. YES,,,2. FEMALE,51,1. YES,2. SPOUSE,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,3,2. NO,1. YES,,,1. MALE,19,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,4,2. NO,2. NO,9. MOVED WITH FAMILY,,,,1. YES,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169067,401,1. YES,,,,2. FEMALE,40,1. YES,3. OWN CHILD,,10. MISTAKENLY NOT REPORTED OR FORGOTTEN LAST VISIT,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169071,1,2. NO,1. YES,,,2. FEMALE,61,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169071,101,2. NO,1. YES,,,2. FEMALE,40,1. YES,3. OWN CHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,490,169071,102,2. NO,1. YES,,,2. FEMALE,3,1. YES,6. GRANDCHILD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,776,169073,1,2. NO,1. YES,,,1. MALE,39,1. YES,1. HEAD,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,776,169073,3,2. NO,1. YES,,,2. FEMALE,12,1. YES,3. OWN CHILD,,,,,
