zone,state,lga,sector,ea,hhid,interviewer_id,wt_baseline,s3q1,s3q2__1,s3q2__2,s3q2__3,s3q2__4,s3q2__5,s3q2__6,s3q2__7,s3q2__8,s3q2__9,s3q2__10,s3q3__1,s3q3__2,s3q3__3,s3q3__4,s3q3__5,s3q3__6,s3q3__7,s3q3__8,s3q3__9,s3q3__10,s3q3__96,s3q3__11,s3q3__98,s3q3_os,s3q4,s3q5__1,s3q5__2,s3q5__3,s3q5__4,s3q5__5,s3q5__6,s3q5__96,s3q5_os,s4q1,s4q2,s4q3,s4q4,s5q1a1,s5q1b1,s5q1c1__1,s5q1c1__2,s5q1c1__3,s5q1c1__4,s5q1c1__5,s5q1c1__6,s5q1a2,s5q1b2,s5q1c2__1,s5q1c2__2,s5q1c2__3,s5q1c2__4,s5q1c2__5,s5q1c2__6,s5q1a3,s5q1b3,s5q1c3__1,s5q1c3__2,s5q1c3__3,s5q1c3__4,s5q1c3__5,s5q1c3__6,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4a,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q6,s5q7__1,s5q7__2,s5q7__3,s5q7__4,s5q7__5,s5q7__6,s5q7__7,s5q8,s5q9,s5q10,s5q10_os,s6q1,s6q2,s6q3,s6q3_os,s6q4,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q11,s6q12,s6q13,s6q14,s6q14_os,s6q15,s6q16,s6q17__1,s6q17__2,s6q17__3,s6q17__4,s6q17__5,s6q17__6,s6q17__96,s6q17_os,s8q4,s8q6,s8q8,s9q1,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q11,s12q14
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200181,19,7255.088421203789,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1,1,0,0,1,1,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,1,0,1,0,0,0,,1. YES,0,1,0,0,0,0,0,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-06T13:28:51
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200183,13,6334.788121043943,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,0,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,2. Somewhat worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1,2020-04-29T09:22:48
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200185,7,6818.950684665064,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,2. NO,1,1,0,0,1,1,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,8. PUBLIC ADMINISTRATION,,,,,,,2. NO,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-04T16:44:48
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200186,21,5179.121572851258,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,1,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,1,0,0,0,1,0,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,1. YES,0,0,0,1,0,0,0,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,8. PUBLIC ADMINISTRATION,,,,,,,1. YES,3,5,,,,,2. NO,,,,,2. NO,,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-10T15:48:47
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200187,4,8625.318058318688,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,,,,,8. PUBLIC ADMINISTRATION,5. As an employee for the government,2. NO,1. Full normal payment,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,,,,,,1. YES,"1. AGRICULTURE, HUNTING, FISHING",2. The same,,,1. YES,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-29T09:28:47
3. North West,20. Katsina,2012. DUTSIN-MA,1. Urban,844,200188,12,5616.970909970988,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,1,0,0,0,1,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,1. YES,1. YES,,,2. NO,2. NO,,,,,,,,,,1. YES,3,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",4. No revenue from sales,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,2. NO,0,0,1,0,0,0,0,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,10,3. HAUSA,,3,2020-05-06T12:45:01
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209002,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-11T13:54:57
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209005,13,27437.731710772125,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,1,1,1,0,0,0,0,0,0,,2. NO,0,1,1,0,0,0,0,,2. NO,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,2,2020-05-07T09:01:18
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209006,21,31714.835898384335,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,4. CONSTRUCTION,,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",4. No revenue from sales,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,2,2020-05-03T11:53:08
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209007,7,55996.47610950603,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,1,1,0,0,0,,1. YES,,,,,,,,,1. YES,2. NO,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,2. NO,,,,,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,2,2020-04-23T11:06:30
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-05-04T11:08:37
3. North West,20. Katsina,2003. BATSARI,2. Rural,1390,209012,4,34389.616099291234,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,1,0,0,0,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,3,2020-04-27T21:34:49
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209014,19,15906.733661291448,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,1,1,0,0,1,0,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,1,0,1,0,0,1. YES,2. NO,0,1,0,0,0,1,1. YES,2. NO,0,1,0,0,0,1,1. YES,2. NO,0,1,0,0,0,1,1. YES,2. NO,0,0,0,1,0,1,1. YES,1. YES,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,1. YES,3,,,,,,1. YES,"2. MINING, MANUFACTURING",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-06T14:07:29
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209018,4,11923.103420307518,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,0,0,0,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,0,0,1,0,,1. YES,1. YES,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,1. YES,1. YES,1. YES,1,0,0,1,1,0,0,0,,1. YES,1,0,0,1,0,0,0,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-11T07:11:07
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,12,20884.598768139174,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,0,0,0,0,0,0,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,2. NO,1. YES,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,0,0,1,0,0,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1. YES,1,0,0,0,1,1,0,0,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, raising family  livestock, or fishing",,,,,2. NO,,,,,,,2. NO,,,,,,1. YES,,,,,,,,,2. NO,2. NO,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,1,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-21T10:08:15
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,4,9415.441878716752,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,1,1,1,0,0,0,0,0,,2. NO,0,1,0,0,0,0,1,DRINKING WATER,1. YES,1. YES,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,1,0,0,0,1,1,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,1,0,0,1,1,0,0,0,,2. NO,,,,,,,,1. YES,2. NO,2. NO MONEY IN ATM,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-05-10T09:03:17
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209025,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7. PHONE TURNED OFF,,,,,2020-04-30T13:17:23
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,19,23205.010649216598,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,1,1,0,0,0,0,1,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,1. USUAL PLACE OF BUSINESS CLOSED DUE TO CORONAVIRUS LEGAL RESTRICTIONS,,2. NO,,,,,,,,,,1. YES,2. NO,2. NO,1. Very worried,2. A moderate threat,0,0,0,0,0,1,1,1,0,0,1,1,1. COMPLETE,1,3. HAUSA,,2,2020-05-03T11:58:30
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209029,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. PARTIALLY COMPLETE,,,,,2020-05-01T18:55:58
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,13,26232.26256655093,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,0,0,1,0,1,0,0,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,0,0,0,,2. NO,,,,,,,,2. NO,,,,1. YES,,,,,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",1. In your own non-farm business,,,,,2. NO,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. Very worried,2. A moderate threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,3. HAUSA,,2,2020-05-06T09:19:15
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,4,32376.840474952507,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,1,1,1,1,1,0,0,0,0,0,,2. NO,0,1,1,1,0,0,0,,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,1,1,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,12. NOT FARMING SEASON,,"1. AGRICULTURE, HUNTING, FISHING",,,,,,,2. NO,,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,2. NO,,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-27T09:32:12
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,13,26187.304229530444,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1,1,1,0,1,0,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,1,0,0,0,0,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,1. YES,1. YES,1. YES,0,0,0,0,0,1,0,0,,2. NO,,,,,,,,2. NO,,,,2. NO,1. YES,1. BUSINESS / OFFICE CLOSED DUE TO  CORONAVIRUS LEGAL RESTRICTIONS,,8. PUBLIC ADMINISTRATION,,,,,,,1. YES,3,,,,,,1. YES,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",3. Less,3. NO CUSTOMERS / LESS CUSTOMERS,,1. YES,1. YES,,,,,,,,,2. NO,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,0,2020-04-26T17:49:35
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,12,23623.62585837253,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,1,0,0,0,1,0,1,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,1,0,0,0,0,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. YES,2. NO,0,1,0,0,0,0,2. NO,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,,,,,2. NO,,,,2. NO,2. NO,,,,,,,,,,2. NO,,,,,,,2. NO,,,,,1. YES,1. YES,,,,,,,,,1. YES,1. YES,2. NO,1. Very worried,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,3,3. HAUSA,,0,2020-05-08T10:58:47
