zone,state,lga,sector,ea,hhid,interviewer_id,wt_round3,wt_r3panel,s2q0a,s2q0b,s5q1a4,s5q1b4,s5q1c4__1,s5q1c4__2,s5q1c4__3,s5q1c4__4,s5q1c4__5,s5q1c4__6,s5q1a5,s5q1b5,s5q1c5__1,s5q1c5__2,s5q1c5__3,s5q1c5__4,s5q1c5__5,s5q1c5__6,s5q1a6,s5q1b6,s5q1c6__1,s5q1c6__2,s5q1c6__3,s5q1c6__4,s5q1c6__5,s5q1c6__6,s5q1a7,s5q1b7,s5q1c7__1,s5q1c7__2,s5q1c7__3,s5q1c7__4,s5q1c7__5,s5q1c7__6,s5q1a8,s5q1b8,s5q1c8__1,s5q1c8__2,s5q1c8__3,s5q1c8__4,s5q1c8__5,s5q1c8__6,s5q1c,s5q1d,s5q1e,s5q2,s5q3,s5q4,s5q4_os,filter2,s5q3a,s5q3b,s5q3c__1,s5q3c__2,s5q3c__3,s5q3c__4,s5q3c__5,s5q3c__6,s5q3c__96,s5q3c_os,s5q3d,s5q3e,s5q3f__1,s5q3f__2,s5q3f__3,s5q3f__4,s5q3f__96,s5q3f_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q11,s5q12,s5q13__1,s5q13__2,s5q13__3,s5q13__4,s5q13__96,s5q13_os,s5q13a,s5q13b__1,s5q13b__2,s5q13b__3,s5q13b__96,s5q13b_os,s5q14,s5q15,s5q16,s5q17__1,s5q17__2,s5q17__3,s5aq1,s5aq2,s5aq2_os,s5aq3__1,s5aq3__2,s5aq3__3,s5aq3__4,s5aq3__5,s5aq3__6,s5aq3__7,s5aq3__8,s5aq3__9,s5aq3__10,s5aq3__11,s5aq3__12,s5aq3__96,s5aq3_os,s5aq4,s5aq5,s5aq6a,s5aq6b,s5aq7__1,s5aq7__2,s5aq7__3,s5aq7__4,s5aq7__96,s5aq7_os,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q8f__1,s6q8f__2,s6q8f__3,s6q8f__4,s6q8f__5,s6q8f__6,s6q8f__7,s6q8f__8,s6q8f__96,s6q8f_os,s6q8g,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11c,s6q12,s6q13,s6q14,s6q14_os,s6q15a,s6q15b,s6q16a,s6aq1,s6aq1b,s6q2a,s6q2b,s6q2c,s6q2d,s6q2e,s6aq3a,s6aq4__1,s6aq4__2,s6aq4__3,s6aq4__4,s6aq4__5,s6aq4__6,s6aq4__96,s6aq4_os,s6aq3b,s6aq5__1,s6aq5__2,s6aq5__3,s6aq5__4,s6aq5__5,s6aq5__6,s6aq5__96,s6aq5_os,s6aq3c,s6aq6__1,s6aq6__2,s6aq6__3,s6aq6__4,s6aq6__5,s6aq6__6,s6aq6__96,s6aq6_os,s6aq3d,s6aq7__1,s6aq7__2,s6aq7__3,s6aq7__4,s6aq7__5,s6aq7__96,s6aq7_os,s6aq3e,s6aq8__1,s6aq8__2,s6aq8__3,s6aq8__4,s6aq8__5,s6aq8__96,s6aq8_os,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,filter,s12q4a,s12q4b,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
6. South West,27. Ogun,2720. SAGAMU,1. Urban,1836,279105,9,20611.691337808654,,2. NO,2. NO,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1,1,1,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,8. SEASONAL WORKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,2,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,2. NO,1. AT THIS NUMBER,,1. COMPLETE,1,1. ENGLISH,,,0,2020-07-07T17:20:57
6. South West,27. Ogun,2706. EWEKORO,2. Rural,362,279112,5,24512.27705056186,25054.451264302832,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,0,1,1,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,1. Open,,,Mr Lanre Adekunle renders Bricklayer service,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",,,,2. NO,,1. YES,,1,2. NO,2. NO,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-06T12:02:25
6. South West,27. Ogun,2715. OBAFEMI-OWODE,2. Rural,864,279118,22,102897.0990879606,109475.3,2. NO,2. NO,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,2,4. YORUBA,,1. YES,0,2020-07-09T13:42:11
6. South West,27. Ogun,2716. ODEDA,2. Rural,44,279121,22,5109.73000000249,5491.713920509407,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,0,0,1,1,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,2. NO,1. YES,2. NO,2. NO,,,,,,,,,,,,,,,,,,,2. NO,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-16T11:27:15
6. South West,24. Lagos,2420. SURULERE (LAGOS),1. Urban,0,280033,22,989.2073244094391,968.6422996475355,2. NO,2. NO,1. YES,2. NO,0,0,0,0,1,1,2. NO,,,,,,,,1. YES,2. NO,0,0,0,1,0,0,1. YES,2. NO,1,0,0,0,1,1,2. NO,,,,,,,,4. Some of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,0,1,0,0,0,1,0,0,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,3. NO,,1,0,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,4. As an employee for a private company or another individual (not household member),1. YES,,,,35,3. Fewer hours,1,0,1,0,0,1,0,0,0,,4. Mostly follow,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,1,1,1. YES,,,1. COMPLETE,2,1. ENGLISH,,,0,2020-07-10T13:10:28
6. South West,28. Ondo,2804. AKOKO SOUTH WEST,1. Urban,340,280036,5,1372.6805454844684,1281.7046677252597,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1,0,0,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,3. WITHIN THE NEXT 2 TO 3 MONTHS,,2. NO,1,1,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Barbing salon,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,2. NO,,1. YES,,1,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-09T16:55:57
6. South West,28. Ondo,2804. AKOKO SOUTH WEST,1. Urban,340,280039,8,1143.4801922598665,1130.083361476831,1. YES,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,1,1. YES,1. YES,,,,,,,1. All of the time,1. All of the time,3. THREE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,2. NO,0,0,0,0,1,no reason to call when there is no cases of covid 19.,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,101,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,5,4. YORUBA,,1. YES,1,2020-07-08T15:46:22
6. South West,28. Ondo,2814. OKITIPUPA,1. Urban,0,280082,22,4439.069987376883,4261.83626530377,2. NO,1. YES,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,2. NO,0,1,0,0,0,0,0,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,0,1,1,1,1,1,0,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,3. NO,,0,0,0,0,1,THINGS ARE NOT GOING NORMAL AGAIN,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,1. YES,1,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1,0,0,0,0,0,0,,2. NO,1,0,0,0,0,0,0,,1. YES,,,,,,,,,1. YES,,,,,,,,2. NO,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,2. NO,1. AT THIS NUMBER,,1. COMPLETE,2,4. YORUBA,,1. YES,0,2020-07-09T16:17:50
6. South West,28. Ondo,2814. OKITIPUPA,1. Urban,1876,280084,5,,,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,,,2. PARTIALLY COMPLETE,4,4. YORUBA,,1. YES,0,2020-07-20T18:15:14
6. South West,28. Ondo,2814. OKITIPUPA,1. Urban,0,280089,1,2919.9513945158874,2661.102130826338,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,0. NONE,2. NO,,,,2. NO,,,,,,,,,,,1. YES,2. NO,0,0,0,1,0,,1. YES,2. NO,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,5. WITHIN THE NEXT 7 TO 12 MONTHS,,1. YES,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,1. YES,,1,2. NO,2. NO,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,1. YES,,,1. COMPLETE,1,1. ENGLISH,,,0,2020-07-06T12:26:26
6. South West,28. Ondo,2814. OKITIPUPA,1. Urban,1876,280090,5,4156.902166677445,,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,0,0,0,1,1,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,3. NO,,1,1,0,0,0,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,1. YES,1. Open,,,Okada rider,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",,,,2. NO,,"2. NO, MY HOUSEHOLD HAS A FARM BUT DID NOT WORK ON IT",1. YES,1,2. NO,1. YES,1. YES,2. NO,2. NO,,,,,,,,,,1. YES,,,,,,,,,3. HAVE NOT TRIED TO PURCHASE / ACCESS,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,2. NO,2. AT A DIFFERENT NUMBER,0,1. COMPLETE,2,2. PIDGIN,,2. NO,2,2020-07-15T16:50:26
6. South West,28. Ondo,2813. ODIGBO,2. Rural,0,280111,5,25552.437216941347,31494.104478235182,2. NO,2. NO,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,2. NO,0,0,0,0,0,1,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING",1. In your own non-farm business,,,,,,,,,,,,,,,,,,,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,"Buying and selling of daily needs like sugar, alum etc. in her house","5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",2. The same,,,2. NO,,1. YES,,2,1. YES,2. NO,2. NO,1. YES,2. NO,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,,,3. HAVE NOT TRIED TO PURCHASE / ACCESS,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,2,4. YORUBA,,1. YES,1,2020-07-08T08:46:56
6. South West,28. Ondo,2813. ODIGBO,2. Rural,612,280116,22,27897.701359710358,26923.466725315688,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,1. YES,1. YES,0,0,1,1,1,1,1,0,,1. YES,1. YES,,,,,,,1. YES,0,0,1,0,,1. YES,2. PERSONAL,1. PUBLIC/COMMERCIAL TRANSPORT,1,0,0,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,3. Permanently closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,READY MADE SELLER,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,2. NO,,1. YES,,1,1. YES,2. NO,1. YES,1. YES,2. NO,2. NO,1,0,0,0,1,1,0,,,,,,,,,,,1. YES,,,,,,,,,2. NO,0,0,0,0,1,0,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-14T14:54:58
6. South West,28. Ondo,2813. ODIGBO,2. Rural,612,280120,22,26713.16749570181,30308.170510287364,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,1. All of the time,2. Most of the time,5. FIVE OR MORE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,1. YES,1. YES,,,,,,,1. YES,0,1,1,0,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,1. OWN,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 2,,1. Open,,,TAILORING,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",2. The same,,,2. NO,,1. YES,,4,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,0,0,0,0,1,1,0,,2. NO,1,0,0,0,0,0,0,,2. NO,0,0,0,0,1,1,0,,1. YES,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,1,1,1. YES,,,1. COMPLETE,4,4. YORUBA,,1. YES,0,2020-07-09T14:39:17
6. South West,28. Ondo,2801. AKOKO NORTH EAST,1. Urban,760,289001,5,6300.338271434791,5587.307569103355,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,4. Some of the time,1. All of the time,5. FIVE OR MORE,2. NO,,,,1. YES,98. DON'T KNOW,,,,,,,,,,1. YES,1. YES,,,,,,,1. YES,1. YES,1,1,1,0,1,1,1,0,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,1. RENT ALREADY DUE,"2. YES, PARTIAL",,1,1,0,0,0,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Plumbing services,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. Higher,,,2. NO,,1. YES,,1,2. NO,2. NO,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-10T15:32:25
6. South West,28. Ondo,2801. AKOKO NORTH EAST,1. Urban,760,289002,8,3708.3105741385393,3732.9422976695823,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,2. NO,,,,1. YES,1. YES,1. YES,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,3. OCCUPIED FREE OF CHARGE,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,4. RESPONDENT WORKED IN NFE LAST WEEK AND NFE WAS OPERATING AT ROUND 2,,1. Open,,,Electrrician,"3. ELECTRICITY, GAS, WATER SUPPLY",1. Higher,,,2. NO,,1. YES,,1,2. NO,2. NO,1. YES,2. NO,2. NO,,,,,,,,,,,,,,,,,,,1. YES,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-13T14:04:09
6. South West,28. Ondo,2801. AKOKO NORTH EAST,1. Urban,0,289003,22,5227.121921471886,5010.557942643064,2. NO,2. NO,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,0,1,1. YES,1. YES,,,,,,,1. YES,2. NO,0,0,0,0,1,0,2. NO,,,,,,,,1. All of the time,1. All of the time,1. ONE,1. YES,1. YES,,,2. NO,,,,,,,,,,,1. YES,1. YES,,,,,,,2. NO,,,,,,,,,,,2. NO,,,,,,,,,,,,,,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,2. RENTED,3. WITHIN THE NEXT 2 TO 3 MONTHS,,2. NO,1,0,0,0,0,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 2 INTERVIEW,1. YES,,,,,,,,,,,,,4. CONSTRUCTION,4. As an employee for a private company or another individual (not household member),1. YES,,,,16,3. Fewer hours,1,1,1,1,1,0,0,0,0,,5. Strongly follow,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 2,2. NO,,,,,,,,,,,"3. NO, MY HOUSEHOLD DOESN'T HAVE A FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1. YES,,,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-07-11T09:35:16
