zone,state,lga,sector,ea,hhid,indiv,wt_educ_r6,wt_educ_r6_pp_panel,wt_educ_r6_ph_panel,s5cq10,s5cq10a,s5cq11,s5cq12,s5cq12_os,s5cq12a,s5cq13a,s5cq13,s5cq13_os,s5cq14,s5cq14_os,s5cq15,s5cq16,s5cq17,s5cq17a,s5cq18,s5cq19,s5cq19_os,s5cq20,s5cq20_os,s5cq21
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,12,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209020,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,3,9398.948696527716,11936.529770852052,11766.412059556409,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,22. JS2,,3. LOCAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,4,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,5,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,6,15436.84143006958,18127.162956728163,17789.543494006386,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,7,16251.172498544447,19177.18047662778,19196.40864740652,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,11. PRIMARY 1,,3. LOCAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,9,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,10,8314.761432144971,8866.010580891982,8927.057571536248,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,11. PRIMARY 1,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,3. NURSERY 3,,3. LOCAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,11,14105.383243365568,16171.587297653234,16165.94327101681,1. YES,1. YES,2. NO,7. LACK OF MONEY,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,12,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,101,6901.230332798614,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,23. JS3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,22. JS2,,3. LOCAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,102,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2009. DANJA,2. Rural,144,209022,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209028,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,101,23047.350348162185,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,26. SS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209030,102,23047.350348162185,,,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,22. JS2,,1. FEDERAL GOVERNMENT,,1. YES
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,3,50198.92931508181,55689.717572426176,55861.07246714668,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,4,50249.574206062454,53581.00292257415,53949.93537018192,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,5,45446.38267579574,49847.02440813021,49636.202856142336,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,6,66601.4146,77383.228,75085.292,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,7,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209031,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,5,17609.988802894928,21871.72573638902,20636.42359849311,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,26. SS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,6,14973.4290160654,17119.94876328484,17154.219056474256,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,23. JS3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,7,16315.916479732588,17895.811264191092,17820.12324169434,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,14. PRIMARY 4,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,101,20095.759736456745,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,22. JS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2010. DAURA,2. Rural,946,209033,102,27940.5844414101,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,1. NURSERY 1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209041,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209042,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209042,102,40583.68520495661,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,7,22613.139106352806,29137.952823449938,27417.581807111517,1. YES,1. YES,2. NO,1. SCHOOLS CLOSED DUE TO CORONAVIRUS,,1. YES,,,,,,,,,2. NO,1. YES,25. SS2,,1. FEDERAL GOVERNMENT,,2. NO
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,8,19486.228536103998,23225.532102001944,23092.27625989212,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,9,23148.082082993005,26834.535527388558,26714.609373966203,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,22. JS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,10,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,11,22613.139106352806,29137.952823449938,27417.581807111517,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,2. STATE GOVERNMENT,,2. NO
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209043,12,23148.082082993005,26834.535527388558,26714.609373966203,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,5,46367.08009871027,61062.746028964866,59867.31283726128,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,6,41509.86695666969,48120.53091881469,47905.4755783619,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,25. SS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,7,34943.31630244296,41648.752760397445,41409.794204032136,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,8,41613.50210527867,46531.65494221846,46511.15266983361,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,9,47883.77881765158,59005.84801425903,58665.58066798134,1. YES,1. YES,2. NO,10. TOO YOUNG TO ATTEND,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209046,201,37888.31469614053,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,11. PRIMARY 1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,3,15225.287347209762,18235.38698797677,18108.31350199838,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,15. PRIMARY 5,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,4,22567.188959452305,26053.66336048249,24410.03005540563,1. YES,1. YES,2. NO,96. OTHER (SPECIFY),THAT SHE'S THE HOSPITAL NOT FEELING FINE.,,,,,,,,,,2. NO,1. YES,12. PRIMARY 2,,4. COMMUNITY,,1. YES
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,202,12570.01277224227,,,1. YES,1. YES,1. YES,,,,2. 2020/21 SESSION,22. JS2,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,1. YES,1. YES,21. JS1,,2. STATE GOVERNMENT,,1. YES
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,203,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2016. JIBIA,1. Urban,408,209047,401,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,7,49105.46771735896,64669.04315465035,63403.009022708255,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,1. FEDERAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,8,37007.02927538466,44108.48127141071,43855.41009137516,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,9,44071.14875223405,49279.762166088025,49258.04905254749,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,10,44824.35020500198,53686.301862973014,53312.18830390711,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,12. PRIMARY 2,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,201,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,401,43961.39302826851,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,15. PRIMARY 5,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,402,48692.33334793602,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,13. PRIMARY 3,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209063,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,3,55475.686756819225,73058.2508970257,71627.980171751,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,26. SS3,,6. PRIVATE,,2. NO
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,4,41807.775372353055,49830.46499864215,49544.56409669702,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,1. YES,25. SS2,,6. PRIVATE,,2. NO
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,5,37248.2220139204,43180.196673787024,42987.22016834974,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,6,41256.719088803104,50539.05885085538,49328.916364549346,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,15. PRIMARY 5,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,7,66601.4146,77383.228,75085.29199999999,1. YES,1. YES,2. NO,4. AWAITING ADMISSION,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,9,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,11,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,101,37248.2220139204,,,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,24. SS1,,6. PRIVATE,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,601,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,602,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209067,603,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,6,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,7,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,8,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,9,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,10,46766.236729995144,52293.37307301991,52270.332134974684,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,11,46766.236729995144,52293.37307301991,52270.332134974684,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,12,51670.02115346449,63295.247357868415,61779.66179393761,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,13,42579.78311696812,48834.65344083149,48284.92238729637,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,14. PRIMARY 4,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,14,47565.498796966705,56969.38639373459,56572.39462559307,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,1. NURSERY 1,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,15,53812.92182637424,66312.16593373215,65929.76545161818,1. YES,1. YES,2. NO,10. TOO YOUNG TO ATTEND,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209069,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,6,37728.90373856419,43737.429483445885,43541.962650298075,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,15. PRIMARY 5,,3. LOCAL GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,7,43522.24215836942,53631.24777215466,53321.97398029962,1. YES,1. YES,2. NO,10. TOO YOUNG TO ATTEND,,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,8,56191.59357646891,74001.05851431815,72552.33032369184,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,51. QUARANIC,,7. NGO,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,9,50430.801176509594,56391.03944840297,56366.1930411073,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,51. QUARANIC,,7. NGO,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,10,66601.4146,77383.228,75085.292,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,51. QUARANIC,,7. NGO,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,11,,,,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2086,209071,12,37728.90373856419,43737.429483445885,43541.962650298075,1. YES,1. YES,2. NO,96. OTHER (SPECIFY),SICKNESS,,,,,,,,,,2. NO,2. NO,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209075,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209075,101,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,3,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,4,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,5,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209078,6,50379.794349795426,56334.004304993105,56309.18302790283,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,16. PRIMARY 6,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,1,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,2,,,,2. NO,,,,,,,,,,,,,,,,,,,,
3. North West,20. Katsina,2021. KATSINA,1. Urban,2556,209079,3,24648.84772288463,28574.305964419455,28446.60460743011,1. YES,1. YES,1. YES,,,,1. 2019/20 SESSION,21. JS1,,2. STATE GOVERNMENT,,"1. YES, EVERY DAY",,,2. NO,,,,,,
