zone,state,lga,sector,ea,hhid,indiv,wt_employ_r5,wt_employ_r5_pp_panel,wt_employ_r5_ph_panel,respondent,s6q0a,s6q0c,s6q1_1,s6q1a_1,s6q1b_1,s6q1c_1,s6q1c_1_os,s6q1d_1,s6q3a_1,s6q3b_1,s6q3b_1_os,s6q6_1,s6q6a_1,s6q5a_1,s6q8b1_1,s6q8c1_1
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169145,2,30703.528915909716,32446.295715632805,32123.24223053094,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",40,40
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169145,3,36241.33395833253,47310.39165643113,41079.24473820693,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169149,1,26450.179864502992,29468.667289530855,28735.78881202305,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"7. PROFESSIONAL ACTIVITIES: FINANCE, LEGAL, ANALYSIS, COMPUTER, REAL ESTATE",48,48
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169149,2,23586.893822677288,25986.220579565055,26162.067572626063,2. NO,1. YES,,2. NO,1. YES,98. DON'T KNOW,1. BUSINESS / OFFICE CLOSED DUE TO CORONAVIRUS RECOMMENDATIONS,,4. As an employee for a private company or another individual (not household member),,,,,,,,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169153,2,28647.461343451752,31229.675232437967,31596.884723039893,1. YES,,,2. NO,1. YES,2. WITHIN ONE MONTH,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169154,1,26875.812693795382,38667.123365210384,35410.93307664618,1. YES,,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169154,101,25442.498712515484,,,2. NO,1. YES,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169154,501,26251.139755086566,,,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"2. MINING, MANUFACTURING",66,66
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169155,1,37865.37330525828,58088.43218669761,49822.94003632615,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,,47.5,47.5
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169155,101,39998.53520802816,,,2. NO,2. NO,1,2. NO,2. NO,,,,,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,1,4457.81685824011,5558.200886114831,5412.6345753609885,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",50,50
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,2,5600.3562078733785,5918.23871878721,5859.313420795556,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",89,89
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,6,5845.308580304872,7945.260202532536,8033.972637391199,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,101,5184.59765711393,,,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,102,5184.59765711393,,,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,201,5184.59765711393,,,2. NO,2. NO,2,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1610. ISU,2. Rural,66,169166,501,5184.59765711393,,,2. NO,2. NO,2,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",50,50
4. South East,16. Imo,1610. ISU,2. Rural,776,169170,1,8357.87347640015,9111.232271946028,9218.365341260242,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",27,54
4. South East,16. Imo,1610. ISU,2. Rural,776,169170,2,12967.66433151955,17626.352127957154,17823.158346392745,2. NO,1. YES,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169172,1,16798.524637451595,18164.336954240818,17902.59901760867,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",12,18
4. South East,16. Imo,1611. MBAITOLI,2. Rural,1878,169172,2,14663.270185265677,16154.860250641617,16264.179094822828,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",32,32
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169181,1,,,,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",72,72
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169181,6,29767.554578639552,45665.74747765659,39167.898196679555,2. NO,1. YES,,2. NO,2. NO,,,,,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,
4. South East,16. Imo,1625. OWERRI MUNICIPAL,2. Rural,210,169181,401,31444.5224208385,,,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",36,36
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169202,1,5839.852469561356,6433.899078319323,6477.436837229525,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,,12,12
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169202,2,8662.077679334687,11773.965413691425,11905.427079283863,2. NO,1. YES,,2. NO,2. NO,,,,,2. NO,,,,,,,
4. South East,16. Imo,1607. IHITTE-UBOMA,2. Rural,574,169202,3,6402.483242967735,9821.90801837289,8424.333655088169,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170041,1,31245.65155395758,31532.493464552514,31520.454274195028,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",21,21
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170041,2,32830.6521077079,36820.46583962255,35353.023279362234,2. NO,2. NO,1,2. NO,1. YES,1. WITHIN ONE WEEK,5. VACATION,,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170041,3,25457.162788184694,,32323.7948322991,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",7,7
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170041,4,25457.162788184694,34035.10103361786,32323.7948322991,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",7,7
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170042,2,18205.03965960674,21138.30299335789,21153.780338309123,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",12,998. DON'T KNOW
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170042,3,16495.400198100953,21756.4227160918,20832.862441172598,2. NO,2. NO,2,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),lack of money,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170043,1,20010.538268548786,20194.239383536627,20186.52916891829,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",20,20
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170043,2,23893.443014170276,26002.164946745215,26018.174638653487,2. NO,2. NO,1,2. NO,1. YES,3. WITHIN THREE MONTHS,6. ILL / QUARANTINED,,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1722. MIGA,2. Rural,96,170043,5,16303.437593610486,21796.975189684315,20701.009622393834,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",20,20
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1452,170081,1,8945.255290451461,8646.6763730731,8693.593061115478,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1452,170081,2,7901.738922978802,8862.014288739923,8508.827639945875,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",21,21
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1452,170081,4,6127.074582986419,8191.627802656837,7779.7476250797145,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,1,22176.522932265685,21436.304571432505,21552.61751885485,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,2,19589.50177948156,21970.1569959764,21094.558529299662,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,3,15356.47521708152,20254.25041160729,19394.45736003219,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,4,15189.863853560615,20308.176337026165,19287.068508707973,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,5,15189.863853560615,20308.176337026165,19287.068508707973,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179004,101,18064.212864291643,,,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179008,1,18797.34636976543,18969.910117956348,18962.667355526817,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",8,8
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179008,2,18552.56569552934,20382.547352571833,19964.864442910588,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",28,28
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179008,4,15314.998494899392,20475.475819541454,19445.956068437343,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",84,84
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179008,9,19750.880795305075,22151.14793456231,21268.33625642162,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",84,84
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179008,10,15314.998494899392,20475.475819541454,19445.956068437343,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",84,84
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179011,1,23610.793685572942,23827.545932193156,23818.448511415067,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",20,20
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179011,2,28192.302769398797,30680.421670654137,30699.31179382538,2. NO,2. NO,1,2. NO,1. YES,2. WITHIN ONE MONTH,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179011,6,24808.5002208805,27823.405149504753,26714.53137627256,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179011,101,18891.634396376085,,,2. NO,1. YES,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",9,25
3. North West,17. Jigawa,1701. AUYO,2. Rural,10,179011,102,19447.718635394274,,,2. NO,2. NO,1,2. NO,1. YES,3. WITHIN THREE MONTHS,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179013,1,3812.9823322441907,3847.98634345378,3846.5171719740833,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",27.5,35
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179013,2,4006.403778348801,4493.290385352807,4314.2148251522685,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",84,84
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179013,3,4006.403778348801,4493.290385352807,4314.2148251522685,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",42,42
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179013,6,3106.599066202474,4153.385590094809,3944.5507607291897,2. NO,2. NO,1,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",48,48
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179017,1,3288.5104506327148,3818.3674192446024,3821.1632061020787,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",36,36
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179017,2,3505.0801432538906,4184.597970727052,3880.2351624915636,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",21,21
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179017,8,2979.685677872109,3930.0229391423586,3763.193441780713,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",21,21
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179018,1,,,,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",42,42
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179018,2,12116.651980214543,13186.01020392901,13194.12891101731,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",9,9
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,1,3938.0759296256174,3806.6289882648125,3827.283678810612,1. YES,,,1. YES,,,,,,,,,5. As an employee for the government,,8. PUBLIC ADMINISTRATION,30,40
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,3,2697.394780899759,3606.297554026183,3424.9706538383484,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,5,4363.170369893045,5754.754526091963,5510.465161908993,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",63,63
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,6,4363.170369893045,5754.754526091963,5510.465161908993,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,7,4363.170369893045,5754.754526091963,5510.465161908993,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,19,2697.394780899759,3606.297554026183,3424.9706538383484,2. NO,2. NO,1,1. YES,,,,,,,,,2. In a non-farm business operated by a household member,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",56,56
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179019,101,2649.0066245777043,,,2. NO,2. NO,1,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",1. Only for sale,"1. AGRICULTURE, HUNTING, FISHING",35,35
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179020,1,,,,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"1. AGRICULTURE, HUNTING, FISHING",42,42
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179020,2,7728.074126089929,8410.117287328183,8415.29544795282,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179020,4,6387.909410951655,7017.997844041402,6874.18374128031,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179020,5,7728.074126089929,8410.117287328183,8415.29544795282,2. NO,2. NO,1,2. NO,1. YES,98. DON'T KNOW,7. NEED TO CARE FOR ILL RELATIVE,,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179022,1,3419.860029286782,6005.957462502097,5608.850894850149,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",34,34
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179022,2,4141.283487216655,4944.139868004437,4584.532492323037,2. NO,2. NO,1,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),lack of money,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179024,1,3237.661880037318,3129.593686610728,3146.574797543868,1. YES,,,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),lack of money,,,,,,,,,
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179024,2,2859.9696784779453,3207.533481311208,3079.700466801355,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",998. DON'T KNOW,998. DON'T KNOW
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179024,10,2859.9696784779453,3207.533481311208,3079.700466801355,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",7,7
3. North West,17. Jigawa,1707. GAGARAWA,2. Rural,284,179024,16,2637.2850947928805,3148.5664820359557,2919.558452329796,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",42,45
3. North West,17. Jigawa,1712. GWIWA,2. Rural,126,179033,1,21463.03195951266,24921.235064538334,24939.48225078719,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",25,25
3. North West,17. Jigawa,1712. GWIWA,2. Rural,126,179033,2,22876.511498036187,27311.5020711417,25325.02558626739,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",8,8
3. North West,17. Jigawa,1712. GWIWA,2. Rural,126,179033,8,22876.511498036187,27311.5020711417,25325.02558626739,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",12,12
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179042,1,19237.990630614982,33785.75508997779,31551.882252370142,2. NO,2. NO,2,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,"1. AGRICULTURE, HUNTING, FISHING",20,20
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179042,2,19804.270030036172,26120.61939586645,25011.798945689075,1. YES,,,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),LACK OF MONEY TO RU. MY TAILORING BUSINESS,,,,,,,,,
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179044,1,14706.710485392567,17076.310081630276,17088.81325852724,1. YES,,,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179044,2,16998.8138345283,19064.630274626932,18304.828647388702,2. NO,1. YES,,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",56,56
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179046,1,19189.26765091694,22281.113439468638,22297.42754371383,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",35,40
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179046,2,20453.005096539157,24418.158822124326,22642.126944502725,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",24,38
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179046,5,17387.199112379476,22932.65087204942,21959.15970484799,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",20,24
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179047,1,32165.73222776679,56489.45215763391,52754.43861567793,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",12,56
3. North West,17. Jigawa,1715. KAFIN HAUSA,2. Rural,3064,179047,501,38951.13092007566,,,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",14,14
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1344,179050,2,23588.380012686448,25915.082607409822,25384.02596761211,2. NO,2. NO,101,1. YES,,,,,,,,,1. In your own non-farm business,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",0.5,1
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1344,179050,101,21725.887723205535,,,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,"1. AGRICULTURE, HUNTING, FISHING",18,63
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1344,179060,1,30698.951146858795,53913.49153255141,50348.79735909241,1. YES,,,2. NO,1. YES,98. DON'T KNOW,11. NOT ABLE TO FARM DUE TO LACK OF INPUTS,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING",,
3. North West,17. Jigawa,1716. KAUGAMA,2. Rural,1344,179060,2,31602.589367299493,41681.88009631872,39912.48403598052,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1721. MALAM MADORI,1. Urban,1272,179074,1,18022.395819060654,29807.59275337075,28435.064284899945,1. YES,,,1. YES,,,,,,,,,1. In your own non-farm business,,4. CONSTRUCTION,63,18
3. North West,17. Jigawa,1721. MALAM MADORI,1. Urban,1272,179074,2,21773.09119763284,24663.89669388783,23264.771218922193,2. NO,2. NO,1,1. YES,,,,,,,,,1. In your own non-farm business,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",10,10
3. North West,17. Jigawa,1718. KIRIKA KASAMMA,2. Rural,0,179080,2,60004.0333,69442.216,67927.239,2. NO,2. NO,5,2. NO,2. NO,,,,,1. YES,"7. SEEK HELP FROM RELATIVES, FRIENDS, OTHERS",,,,,,
3. North West,17. Jigawa,1718. KIRIKA KASAMMA,2. Rural,0,179080,5,60004.0333,,67927.239,1. YES,,,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,,98,98
3. North West,17. Jigawa,1718. KIRIKA KASAMMA,2. Rural,0,179080,6,60004.0333,,67927.239,2. NO,2. NO,5,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),SHE WAS PREGNANT AND SHE JUST PUT TO BED YESTERDAY,1. In their own non-farm business,,,,,,,,
3. North West,17. Jigawa,1721. MALAM MADORI,1. Urban,1272,179082,1,23829.99673426299,21903.487439276803,22413.8331609372,1. YES,,,1. YES,,,,,,,,,"3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family","1. AGRICULTURE, HUNTING, FISHING",18,20
3. North West,17. Jigawa,1721. MALAM MADORI,1. Urban,1272,179082,2,19454.939937645093,22037.965323914992,20787.802825920906,2. NO,2. NO,1,2. NO,2. NO,,,,,2. NO,,,,,,,
3. North West,17. Jigawa,1721. MALAM MADORI,1. Urban,1272,179082,3,16373.80711244559,20682.355845239756,19997.808451410667,2. NO,2. NO,1,1. YES,,,,,,,,,4. As an employee for a private company or another individual (not household member),,"1. AGRICULTURE, HUNTING, FISHING",54,54
