zone,state,lga,sector,ea,hhid,interviewer_id,wt_round4,wt_r4panel,s2q0a,s2q0b,s5q1c,s5q1d,s5q1e,filter3,s5q2a,s5q2b,s5q2c__1,s5q2c__2,s5q2c__3,s5q2c__4,s5q2c__5,s5q2c__6,s5q2c__96,s5q2c_os,s5q2d,s5q2e,s5q2f__1,s5q2f__2,s5q2f__3,s5q2f__4,s5q2f__5,s5q2f__6,s5q2f__7,s5q2f__8,s5q2f__9,s5q2f__96,s5q2f_os,s5q2,s5q3,s5q4,s5q4_os,filter1,s5q4b,s5q5__1,s5q5__2,s5q5__3,s5q5__4,s5q5__5,s5q5__6,s5q5__7,s5q5__96,s5q5_os,s5q5b,s5q5c,s5q21,s5q22,s5q23,s5bq1,s5bq2__9,s5bq2__1,s5bq2__2,s5bq2__3,s5bq2__4,s5bq2__5,s5bq2__6,s5bq2__7,s5bq2__8,s5bq2__96,s5bq2_os,s5bq3__1,s5bq3__2,s5bq3__3,s5bq3__4,s5bq3__5,s5bq3__6,s5bq3__7,s5bq3__8,s5bq3__9,s5bq3__10,s5bq3__11,s5bq3__12,s5bq3__13,s5bq3__96,s5bq3_os,s5bq4_1,s5bq4_2,s5bq4_3,s5bq4_4,s5bq5,s5bq6,s5bq7__1,s5bq7__2,s5bq7__3,s5bq7__4,s5bq7__5,s5bq7__6,s5bq7__7,s5bq7__8,s5bq7__9,s5bq7__10,s5bq7__11,s5bq7__12,s5bq7__13,s5bq7__96,s5bq7_os,s5bq8_1,s5bq8_2,s5bq8_3,s5bq9,s5bq10,s5bq11,emp_case,s6q1,s6q1a,s6q1b,s6q1c,s6q1c_os,s6q3,s6q3_os,s6q3a,s6q3b,s6q3b_os,s6q4a,s6q4b,s6q4b_os,s6q5,s6q6,s6q6a,s6q7,s6q8,s6q8a,s6q8a_os,s6q8b,s6q8c,s6q9,s6q10_1,s6q10_2,s6q10_3,s6q10_4,s6q10_5,s6q10_6,s6q10_7,s6q10_8,s6q10_9,nfe_case,s6q11,s6q11a,s6q11b,s6q11b_os,s6q11b1,s6q11c,s6q12,s6q13,s6q14,s6q14_os,crop_filter1,s6q16,s6aq9,s6aq10,s6aq11,s6bq1,s6bq2__1,s6bq2__2,s6bq2__3,s6bq2__4,s6bq2__5,s6bq3,s6bq4__1,s6bq4__3,s6bq4__4,s6bq4__7,s6bq4__96,s6bq4_os,s6bq6,s6bq7,s6bq8,s6bq9,s6bq10,s6bq11,s6bq12,s6bq13,s6bq13_os,s8q1,s8q2,s8q3,s8q4,s8q5,s8q6,s8q7,s8q8,s9q1,s9q3__1,s9q3__2,s9q3__3,s9q3__4,s9q3__5,s9q3__6,s9q3__7,s9q3__8,s9q3__96,s9q3_os,s9q2,s12q3__0,s12q3__1,s12q3__2,s12q3__3,s12q3__4,s12q3__5,s12q3__6,s12q3__7,s12q4__0,s12q4__1,s12q4__2,s12q4__3,s12q5,s12q9,s12q10,s12q10_os,s12q10a,s12q11,s12q14
6. South West,30. Oyo,3013. IBARAPA NORTH,1. Urban,282,309044,22,62238.926106034036,71924.10167559475,2. NO,2. NO,4. Some of the time,1. All of the time,0. NONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,2. NO,1. YES,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,4. Lower,1. YES,4. Lower,1. YES,0,0,1,0,0,1. YES,1,1,0,0,1,THE CHICKEN HAVE ALL DIED,1. YES,5. Much lower,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,4. Not worried at all,1,0,0,0,0,0,0,0,0,,1. A substantial threat,0,0,0,0,0,0,0,1,0,1,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-09T11:05:34
6. South West,30. Oyo,3015. IREPO,2. Rural,0,309050,8,23559.41351690133,22140.303719827953,1. YES,2. NO,4. Some of the time,3. About half of the time,3. THREE,2. NO,,,,,,,,,,,2. NO,"2. YES, WAS PLANNING TO GO BUT DID NOT",0,0,0,0,0,0,0,0,0,1,To much of work in the farm.,1. YES,1. YES,,,1. YES,1. YES,0,0,0,0,1,0,0,0,,1. YES,,,,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,,2. WITHIN ONE MONTH,2. NO,,,,,,,,,,,,,,,,,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,5. Much lower,1. YES,4. Lower,1. YES,0,0,1,0,0,2. NO,,,,,,,1. YES,4. Lower,1. YES,1. USUAL SALE,1. YES,2. Normal,4. Lower,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,1,0,0,0,0,0,0,1,1,1. COMPLETE,1,1. ENGLISH,,,0,2020-08-14T12:14:26
6. South West,30. Oyo,3016. ISEYIN,2. Rural,198,309061,14,109475.3,109475.3,2. NO,2. NO,1. All of the time,2. Most of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,1. YES,,5. Much lower,1. YES,2. Higher,1. YES,0,0,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,4. YORUBA,,2. NO,0,2020-08-18T21:56:58
6. South West,30. Oyo,3016. ISEYIN,2. Rural,198,309065,22,48307.84769110707,,2. NO,1. YES,1. All of the time,1. All of the time,0. NONE,1. YES,1. YES,1. YES,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,2. NO,,,,,1. YES,0,0,1,0,0,2. NO,,,,,,,97. NEW TO LIVESTOCK FARMING,,2. NO,,,,,,,1. YES,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-15T10:13:52
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309074,22,13708.772104030251,13477.137221688872,2. NO,2. NO,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,1,0,1,0,,2. NO,1. YES,1. YES,2. NO,1. LOWER,1. YES,0,0,0,0,0,0,0,0,0,1,ONLINE APPLICATION,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,2,,,,4. WITHIN THE NEXT 4 TO 6 MONTHS,1. YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,,,1. Very worried,1. YES,2. NO,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,96. OTHER (SPECIFY),NO FINANCE TO START BUISNESS,,,,,,,,,,,,,,,,,,1. YES,2,5,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-16T11:57:49
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309075,5,15799.380758546717,21962.750841285346,2. NO,2. NO,1. All of the time,1. All of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,2. WITHIN ONE MONTH,2. NO,,,,,,,,,,,,,,,,,,,2. Somewhat worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,4. TEMPORARILY LAID OFF/LEAVE OF ABSENCE (FURLOUGHED),,1. YES,1. APPLY TO PROSPECTIVE EMPLOYERS,,,,,,,,,,,,,,2. NO,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,2. Temporarily closed,2. USUAL PLACE OF BUSINESS CLOSED FOR ANOTHER REASON,,2. NO,,,,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. Somewhat worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-20T19:02:07
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309076,22,17625.935023497845,21874.910964289837,2. NO,2. NO,6. I have not been in public during the last 7 days,6. I have not been in public during the last 7 days,0. NONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,1,1,1,0,,2. NO,1. YES,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,2. NO,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,2. NO,,,,,,,,,,2. NO,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,1,2020-08-17T16:26:58
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309077,5,12963.822352712012,19474.829953692435,2. NO,2. NO,1. All of the time,1. All of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,0,0,1,0,1,0,,1. YES,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,2. NO,1. YES,98. DON'T KNOW,2. BUSINESS / OFFICE CLOSED FOR ANOTHER REASON,,,,,,,,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",,,,,,,,,,,,,,,,,,,1. NFE TEMPORARILY CLOSED AT LAST INTERVIEW,,1. Open,,,,,,,,,2. NO,,,,,1. YES,0,0,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,4. Not worried at all,0,0,1,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-20T18:33:05
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309081,14,20013.46380215835,21793.84890226689,2. NO,2. NO,1. All of the time,2. Most of the time,2. TWO,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,2. NO,,,,,,,,,,1. YES,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"5. BUYING & SELLING GOODS, REPAIR OF GOODS, HOTELS & RESTAURANTS",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,4. CAN'T GET INPUTS,,1. YES,,2. Higher,2. NO,,1. YES,0,0,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,2,4. YORUBA,,2. NO,0,2020-08-16T21:47:22
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309083,5,9954.74208877438,10609.502458998211,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,1. YES,,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,1,1,1,1,1,0,,1. YES,,2. NO,2. NO,,1. YES,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,,,1. LOAN ALREADY DUE,2. NO,,,,,,,,,,,,,,,,,,,5. LOAN ALREADY REPAID,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,4. No revenue from sales currently,96. OTHER (SPECIFY),Parents do not have money to pay fees.,1. YES,,3. The same,2. NO,,1. YES,0,1,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,1,0,0,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,0,0,1,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-10T15:52:22
6. South West,30. Oyo,3020. LAGELU,2. Rural,1092,309084,22,10508.42082646419,15246.903423836873,2. NO,2. NO,3. About half of the time,4. Some of the time,5. FIVE OR MORE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,1,1,1,1,0,0,,1. YES,,1. YES,2. NO,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing",2. Only for family consumption,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,2. Higher,1. YES,3. The same,1. YES,1,1,1,0,0,2. NO,,,,,,,1. YES,3. The same,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,2. Normal,3. The same,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,4. Not worried at all,1,1,0,0,0,0,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-16T10:49:15
6. South West,30. Oyo,3021. OGBOMOSO NORTH,2. Rural,628,309085,8,10949.847733883154,10631.411581660734,2. NO,2. NO,1. All of the time,1. All of the time,4. FOUR,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,2. NO,,,,,,,,,,,,,1. YES,1. YES,1. LOWER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"9. PERSONAL SERVICES, EDUCATION, HEALTH, CULTURE, SPORT, DOMESTIC WORK, OTHER",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,4. Lower,1. YES,4. Lower,1. YES,0,1,1,0,0,2. NO,,,,,,,1. YES,1. Much higher,2. NO,,,,,,,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,0,0,0,0,0,0,0,1,0,0,0,1,1. COMPLETE,2,4. YORUBA,,1. YES,0,2020-08-11T12:05:17
6. South West,30. Oyo,3021. OGBOMOSO NORTH,2. Rural,628,309088,4,28115.769255350013,40661.83151854812,2. NO,2. NO,1. All of the time,1. All of the time,4. FOUR,1. YES,1. YES,1. YES,,,,,,,,,1. YES,,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,0,0,1,1,1,1,1,1,"THE HAVE RESUMED SCHOOL, HENCE THEY ALSO LEARN FROM SCHOOL",1. YES,,2. NO,2. NO,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1. YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,1. Very worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,2. NO,96. OTHER (SPECIFY),NEED TO VISIT AND HELP MY PARENTS WITH FARMING,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,1. Much higher,1. YES,2. Higher,1. YES,1,1,1,0,0,1. YES,1,1,1,1,0,,1. YES,4. Lower,1. YES,2. SALES DUE TO CORONAVIRUS,1. YES,1. Better than normal,4. Lower,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. Very worried,,,,,,,,,,,1. A substantial threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,3. HAUSA,,1. YES,0,2020-08-12T21:34:29
6. South West,30. Oyo,3021. OGBOMOSO NORTH,2. Rural,628,309093,5,12250.487737702731,13549.780789380295,2. NO,2. NO,1. All of the time,2. Most of the time,1. ONE,2. NO,,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,2. NO,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,1. YES,,5. Much lower,1. YES,4. Lower,2. NO,,,,,,,,,,,,,,,,,,,,,,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. Somewhat worried,,,,,,,,,,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-11T11:37:34
6. South West,30. Oyo,3021. OGBOMOSO NORTH,2. Rural,628,309096,22,9920.924935348416,9385.32981516315,2. NO,2. NO,2. Most of the time,4. Some of the time,0. NONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,1. YES,1. YES,,,1. YES,1. YES,1,1,1,1,1,0,1,0,,2. NO,1. YES,2. NO,2. NO,,1. YES,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,2,,,4. WITHIN THE NEXT 4 TO 6 MONTHS,1. YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,2,,2. Somewhat worried,2. NO,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,2. The same as in June,,,1. YES,,4. Lower,1. YES,1. Much higher,1. YES,0,1,1,0,0,2. NO,,,,,,,1. YES,3. The same,1. YES,1. USUAL SALE,1. YES,2. Normal,2. Higher,,,1. YES,1. YES,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,1. Very worried,,,,,,,,,,,1. A substantial threat,0,0,0,0,0,0,0,1,0,1,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-09T08:53:54
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309097,22,42569.229166926765,45371.153110112,2. NO,1. YES,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,1,0,0,1,1,1,1,0,,2. NO,1. YES,1. YES,2. NO,3. HIGHER,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,"1. AGRICULTURE, HUNTING, FISHING","3. In a family farm, growing crops, raising livestock, or fishing","3. Some will be sold, some will be consumed by the family",,,,,,,2. NO,,,,,,,,,,3. NFE WAS NOT OPERATING OR PERMANENTLY CLOSED AT ROUND 3,1. YES,1. Open,,,,RAW FOOD SELLER,"5. BUYING &amp; SELLING GOODS, REPAIR OF GOODS, HOTELS &amp; RESTAURANTS",,,,1. YES,,1. Much higher,1. YES,1. Much higher,1. YES,0,1,1,0,0,1. YES,1,1,1,1,0,,1. YES,4. Lower,1. YES,1. USUAL SALE,1. YES,3. Worse than normal,4. Lower,,,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,4. Not worried at all,0,0,1,0,0,1,0,0,0,,1. A substantial threat,1,0,0,0,0,0,0,0,0,1,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-16T09:29:22
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309099,8,68720.1435121031,56699.81901904409,2. NO,2. NO,1. All of the time,1. All of the time,0. NONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,1,1,1,1,0,0,,2. NO,1. YES,1. YES,1. YES,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,2. RESPONDENT WAS NOT WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,,,,"6. TRANSPORT, DRIVING, POST, TRAVEL AGENCIES",1. In your own non-farm business,,,,,,,,2. NO,,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,3. Less than in June,96. OTHER (SPECIFY),Increase in  Fuel  and Expenses.,1. YES,,2. Higher,1. YES,1. Much higher,1. YES,0,0,1,0,0,2. NO,,,,,,,1. YES,2. Higher,2. NO,,,,,,,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,3. Not too worried,0,0,0,0,0,1,0,0,0,,2. A moderate threat,1,0,0,0,0,0,0,0,1,0,0,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-09T21:33:52
6. South West,30. Oyo,3026. ONA-ARA,1. Urban,72,309103,8,83272.61067518266,91558.13210314387,2. NO,2. NO,1. All of the time,1. All of the time,1. ONE,1. YES,2. NO,,,,,,,,,,2. NO,3. NO,,,,,,,,,,,,2. NO,,,,1. YES,1. YES,0,0,0,0,1,1,1,0,,2. NO,1. YES,1. YES,2. NO,98. DON'T KNOW,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2. NO,,,,,,,,,,,,,,,,,,,,,,1. RESPONDENT WAS WORKING AT THE TIME OF ROUND 3 INTERVIEW,1. YES,,,,,,,,,,1. YES,,,,1. In your own non-farm business,,,,,,,,1. YES,201,,,,,,,,,2. NFE WAS OPERATING AT ROUND 3,,1. Open,,,,,,1. Higher than in June,,,2. NO,,,,,1. YES,0,0,1,0,0,2. NO,,,,,,,2. NO,,2. NO,,,,,,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,3. Not too worried,0,0,0,0,0,1,0,0,0,,1. A substantial threat,0,0,0,0,0,0,0,1,0,0,1,0,1. COMPLETE,1,4. YORUBA,,1. YES,0,2020-08-11T11:01:00
