zone,state,lga,sector,ea,hhid,source_cd,source_cd_os,s7q1,s7q2
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149063,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149063,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149063,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149063,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149063,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149065,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149067,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149068,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,1. YES,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149070,99. TOTAL HOUSEHOLD INCOME,,,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,8. PENSION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1403. ENUGU EAST,1. Urban,1418,149072,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,8. PENSION,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149074,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,8. PENSION,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1405. ENUGU SOUTH,1. Urban,846,149078,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149085,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149086,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149088,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,2. NON-FARM FAMILY BUSINESS,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149089,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,1. YES,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149091,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,4. REMITTANCES FROM ABROAD,,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149093,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,2. Stayed the same
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,8. PENSION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1406. EZEAGU,2. Rural,1002,149094,99. TOTAL HOUSEHOLD INCOME,,,2. Stayed the same
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,8. PENSION,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,836,149105,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,6. ASSISTANCE FROM OTHER NON-FAMILY INDIVIDUALS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,"7. INCOME FROM PROPERTIES, INVESTMENTS OR SAVINGS",,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,8. PENSION,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,9. ASSISTANCE FROM THE GOVERNMENT,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,10. ASSISTANCE FROM NGOS / CHARITABLE ORGANIZATION,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,96. OTHER (SPECIFY),,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149110,99. TOTAL HOUSEHOLD INCOME,,,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149111,"1. HOUSEHOLD FARMING, LIVESTOCK OR FISHING",,1. YES,3. Reduced
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149111,2. NON-FARM FAMILY BUSINESS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149111,3. WAGE EMPLOYMENT OF HOUSEHOLD MEMBERS,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149111,4. REMITTANCES FROM ABROAD,,2. NO,
4. South East,14. Enugu,1411. NKANU EAST,2. Rural,1414,149111,5. REMITTANCES FROM FAMILY WITHIN THE COUNTRY,,1. YES,3. Reduced
